20151101
67         BAS RHIN                      
LIEU-DIT   KAEMMERLE                  
LIEU-DIT   KAPELL                     
LIEU-DIT   KATZENLAUF                 
LIEU-DIT   KECKEN                     
LIEU-DIT   KIES                       
LIEU-DIT   KIESBUCKEL                 
LIEU-DIT   KIRCHWEG                   
LIEU-DIT   KLAEMMEL                   
LIEU-DIT   KLEIN FILDEL               
LIEU-DIT   KLEIN KRUETT               
LIEU-DIT   KLEINENBERG                
LIEU-DIT   KLEINFELD                  
LIEU-DIT   KOEHLGASSE                 
LIEU-DIT   KOELL                      
LIEU-DIT   KOELLBACH                  
LIEU-DIT   KOELSCHENBERG              
LIEU-DIT   KOHLGAERTEN                
LIEU-DIT   KRAUTFELD                  
LIEU-DIT   KRUEMMLING                 
LIEU-DIT   KRUETT                     
LIEU-DIT   KUHALLMEND                 
LIEU-DIT   LANGMATT                   
LIEU-DIT   LENZENBERG                 
LIEU-DIT   LERCHENBERG                
LIEU-DIT   LIXHAUSER FELD             
LIEU-DIT   LUETZEL                    
LIEU-DIT   MAUSBERG                   
LIEU-DIT   MICHELMATT                 
LIEU-DIT   MINVERSHEIMER MATT         
LIEU-DIT   MUEHLENBERG                
LIEU-DIT   MUEHLWEG                   
LIEU-DIT   MUENCHMATT                 
LIEU-DIT   NIEDERMATT                 
LIEU-DIT   OBERBRUCH                  
LIEU-DIT   OBERFELD                   
LIEU-DIT   PFAFFENHOFER GASSE         
LIEU-DIT   PFERDSBRUCH                
LIEU-DIT   RAIN                       
LIEU-DIT   RIEDHALDEN                 
LIEU-DIT   RINGENDORFER WEG           
LIEU-DIT   ROET                       
LIEU-DIT   SAAL                       
LIEU-DIT   SAARMATT                   
LIEU-DIT   SCHAEFEREI                 
LIEU-DIT   SCHAFLAEGER                
LIEU-DIT   SCHILD                     
LIEU-DIT   SCHILDBERG                 
LIEU-DIT   SCHILDMATT                 
LIEU-DIT   SCHLAG                     
LIEU-DIT   SCHLOSSBERG                
LIEU-DIT   SCHMALMATT                 
LIEU-DIT   SCHULZENACKER              
LIEU-DIT   SCHWEINBACH                
LIEU-DIT   SCHWEINBACH VEBER S TAL    
LIEU-DIT   SENTIER D EXPLOITATION     
LIEU-DIT   SITT                       
LIEU-DIT   SPITZ                      
LIEU-DIT   SPITZACKER                 
LIEU-DIT   STAETTAECKERN              
LIEU-DIT   STEIG                      
LIEU-DIT   STEPHANSWEG                
LIEU-DIT   TAL                        
LIEU-DIT   TIERGAERTEN                
LIEU-DIT   UNTERWEGEN                 
LIEU-DIT   VILLAGE                    
LIEU-DIT   VOCKEN                     
LIEU-DIT   WALDBUCKEL                 
