20151101
ROUTE      DU LOIR                    
RUE        DU MANEGE                  
IMPASSE    DE LA MARE                 
RUE        DE LA MARE AUX AULNES      
IMPASSE    DE NORMANDIE               
RUE        DES OYATS                  
ROUTE      DU PAYS DE CAUX            
IMPASSE    DES PRES                   
RUE        DU PRUNIER                 
IMPASSE    DES QUATRE SAISONS         
IMPASSE    DE LA ROMAINERIE           
RUE        DES SPORTS                 
IMPASSE    DES TROIS FERMES           
RUE        VIOLLETTE                  
           commune :     ANGIENS                        departement : SEINE MARITIME                
RESIDENCE  DU CHEMIN DU VAL           
RESIDENCE  MOULIN BRULE               
RESIDENCE  SAINT MARTIN               
           RESIDENCE BALTHAZAR        
           RES LE CLOS SAINT PIERRE   
RESIDENCE  MOULIN BRULE               
RESIDENCE  SAINT MARTIN               
LIEU-DIT   AU BOIS ANQUETIL           
LIEU-DIT   AU BOIS D ANGIENS          
LIEU-DIT   AU BOIS D ICLON            
LIEU-DIT   BOIS D ICLON               
LIEU-DIT   AU CHEMIN DE BRICOTE       
LIEU-DIT   AU CHEMIN DE SAINT VALERY  
LIEU-DIT   AU CHEMIN PERDU            
LIEU-DIT   AUX CINQUANTE ACRES        
LIEU-DIT   LE CLOS DU BOHEME          
LIEU-DIT   LA CROIX BREANT            
LIEU-DIT   A LA CROIX DE BREANT       
LIEU-DIT   DERRIERE SILLERON          
LIEU-DIT   ICLON                      
LIEU-DIT   PLAI DE LA COTE DU CHEM BR 
LIEU-DIT   PLAI DE LA COTE MOULIN BRU 
LIEU-DIT   A LA POINTE DE MR DE BRETE 
LIEU-DIT   SILLERON                   
LIEU-DIT   SILLERON HAMEAU            
LIEU-DIT   SOUS LE VILLAGE            
LIEU-DIT   LE VILLAGE                 
ROUTE      DE LA BASCULE              
RUE        DE BOHEME                  
IMPASSE    DE LA BRIQUETERIE          
RUE        DU CHATEAU                 
RUE        DU CLOS GRAS               
RUE        DE L EGLISE                
IMPASSE    DE LA FERMETTE             
RUE        DE LA FORGE                
RUE        DU GOULLEY                 
IMPASSE    DES BOSQUETS               
IMPASSE    DES GRES                   
RUE        DES GRES                   
RUE        DE GUEUTTEVILLE            
RUE        D ICLON                    
IMPASSE    DU MANEGE                  
RUE        DU MANOIR                  
RUE        DE LA MER                  
RUE        DE LA MOTTE                
RUE        DU PAVILLON                
RUE        DE LA PLAINE               
RUE        RAVINE                     
IMPASSE    DES ROSEAUX                
RUE        DE LA SABLIERE             
RUE        DE SILLERON                
RUE        DU STADE                   
RUE        DES TISSERANDS             
ROUTE      DE VEULES                  
RUE        DU VIVIER                  
           commune :     ANGLESQUEVILLE-LA-BRAS-LONG    departement : SEINE MARITIME                
LIEU-DIT   ANGLESQUEVILLE VILLAGE     
LIEU-DIT   LE BOIS                    
LIEU-DIT   LE BOURETOUT               
LIEU-DIT   LA CROIX                   
LIEU-DIT   FERME PAUMIER              
