20151101
52         HAUTE MARNE                   
LIEU-DIT   ENTRE LES DEUX CHEMINS  NO 
LIEU-DIT   ENTRE LES DEUX CHEMINS  SU 
LIEU-DIT   L ETANG                    
LIEU-DIT   FEVETIN                    
LIEU-DIT   FOND DES BASSES TERRES     
LIEU-DIT   FONTENOY                   
LIEU-DIT   FOUROUX                    
LIEU-DIT   GENELON                    
LIEU-DIT   LES GORGES                 
LIEU-DIT   LES GRANDES VIGNES         
LIEU-DIT   GRANDS JOURNAUX            
LIEU-DIT   LES GRANDS VIAUX           
LIEU-DIT   LA GREUSE                  
LIEU-DIT   GRIVELOT                   
LIEU-DIT   LA HAIE DES FOURCHONS      
LIEU-DIT   HAIE DE VOILLEMONT         
LIEU-DIT   LES HAIES DE CELLES        
LIEU-DIT   HAIES DE LAGEVRIRE         
LIEU-DIT   HAYE DES VIAUX  NORD       
LIEU-DIT   LA HAYE DES VIAUX  SUD     
LIEU-DIT   HAYES AIGROT               
LIEU-DIT   HERBUES MARION             
LIEU-DIT   JOYEUSE                    
LIEU-DIT   MAILLERYS                  
LIEU-DIT   MARSUSOT                   
LIEU-DIT   MATEURE                    
LIEU-DIT   MAUVIERGE                  
LIEU-DIT   EN MEOT                    
LIEU-DIT   LA MEZE                    
LIEU-DIT   LE MONTANS                 
LIEU-DIT   LE MONT MERCURE            
LIEU-DIT   MORISOT                    
LIEU-DIT   MORLIN                     
LIEU-DIT   LA NOUE                    
LIEU-DIT   LA NUITS                   
LIEU-DIT   EN PARMY                   
LIEU-DIT   PERDS TON TEMPS            
LIEU-DIT   LE PETIT PRE               
LIEU-DIT   LA PISSOIRE                
LIEU-DIT   PLANCHES DE LANGRES        
LIEU-DIT   PLUMOIS                    
LIEU-DIT   POCHOTTE                   
