20151101
CHEMIN     VIGNES DE PAYOU            
CRS        VICTOR HUGO                
RUE        VILLENEUVE                 
RUELLE     VILLENEUVE                 
RUE        VOLTAIRE                   
CRS        WASHINGTON                 
IMPASSE    DE GENEVOIS                
REMPART    ANCIENS COMBATTANTS AFN    
AVENUE     MICHEL SERRES              
CHEMIN     DE TOURTERAS               
PLACE      DE MONTANOU                
RUE        DE TOURTERAS               
IMPASSE    ABBE PIERRE                
           commune :     AGME                           departement : LOT ET GARONNE                
           TEST                       
LIEU-DIT   AOU BILLEOU                
LIEU-DIT   AUVERGNAS                  
LIEU-DIT   BAUJON                     
LIEU-DIT   BEGUE EST                  
LIEU-DIT   BEGUE OUEST                
LIEU-DIT   BEL AIR                    
LIEU-DIT   BORDE DU DIE               
LIEU-DIT   AU BOURG                   
LIEU-DIT   BRAGARD                    
LIEU-DIT   BRETOUS                    
LIEU-DIT   CAGNASSES                  
LIEU-DIT   CALINE                     
LIEU-DIT   LA CARRIERE                
LIEU-DIT   CASSE                      
LIEU-DIT   CHAMPS DES BOURDETS        
LIEU-DIT   COIFFARD                   
LIEU-DIT   LE CONNG                   
LIEU-DIT   DRAGON                     
LIEU-DIT   L EGLISE                   
LIEU-DIT   FONTETTE                   
LIEU-DIT   GOUDARD                    
LIEU-DIT   GRAND PRE                  
LIEU-DIT   GRAND VERSAN               
LIEU-DIT   AU GREZE                   
LIEU-DIT   JANISSON BAS               
LIEU-DIT   JANISSON HAUT              
LIEU-DIT   LABARTHE                   
LIEU-DIT   LACARRERE                  
LIEU-DIT   LACOURRESSE                
LIEU-DIT   LAMBULANT                  
LIEU-DIT   LAS GRANGES                
LIEU-DIT   LAS ILES                   
LIEU-DIT   LAS MARIES                 
LIEU-DIT   LAYGRESES                  
LIEU-DIT   METAIRIE DU SEIGNEUR       
LIEU-DIT   AU MOULIN                  
LIEU-DIT   MOULIN D ARNAUD            
LIEU-DIT   PIECE NOBLE                
LIEU-DIT   PIECES DE SARROU           
LIEU-DIT   POUSSAC EST                
LIEU-DIT   POUSSAC OUEST              
LIEU-DIT   PRES DES BRETOUS           
LIEU-DIT   PRES DES SIMOUNETS         
LIEU-DIT   PRES DU GAU                
LIEU-DIT   PRES POURRIS               
LIEU-DIT   AU PRESBYTERE              
LIEU-DIT   REGAT LOUNG                
LIEU-DIT   LA REMISE                  
LIEU-DIT   ROUSSEAU                   
LIEU-DIT   SAINT JOSEPH               
LIEU-DIT   SARROU                     
LIEU-DIT   AU SEIGNEUR                
LIEU-DIT   AUX SIMOUNETS              
LIEU-DIT   TERRE DOUCE                
LIEU-DIT   TIRAU                      
LIEU-DIT   TREYTI                     
LIEU-DIT   TUQUET                     
           commune :     AGNAC                          departement : LOT ET GARONNE                
LIEU-DIT   AUX ANDRIEUX               
LIEU-DIT   AUX AUBARDS                
LIEU-DIT   BARBE                      
LIEU-DIT   AU BAYLE                   
LIEU-DIT   A BELAIR                   
LIEU-DIT   BELANGER                   
LIEU-DIT   BELYVE                     
LIEU-DIT   AU BOIRET                  
LIEU-DIT   BOIS BLANC                 
LIEU-DIT   BOIS DE BRAGUEZE           
LIEU-DIT   BOIS DE LA PALUE           
LIEU-DIT   BOIS DE MIAM               
LIEU-DIT   BOIS DE MINERVE            
LIEU-DIT   BOIS DE PECH MANIEU        
LIEU-DIT   BOIS DE PECHAL BET         
LIEU-DIT   BOUDIGAY                   
