20151101
21         COTE D OR                     
RUE        DU PUITS DE BOIS           
ALLEE      DES PRUNUS                 
RUELLE     DU PUITS DERRIERE          
CHEMIN     DE PRELES                  
RUE        DU PARADIS                 
ALLEE      DES PIARDOTS               
ALLEE      DU CLOS POFARD             
ALLEE      DES PRAYES                 
RUE        PRE POTET                  
RUE        DU CLOS POFARD             
RUE        DES ROCHERS                
RUE        ROULOTTE                   
RUE        DES RUCHOTTES              
ROUTE      DE RUFFEY                  
ALLEE      DES SORBIERS               
RUE        DES TILLEULS               
RUE        DES DAMES FINES            
RUE        DES ARGILLIERES            
REMPART    RAYMOND SACHOT             
           commune :     AIGNAY-LE-DUC                  departement : COTE D OR                     
LIEU-DIT   LE BAS DES SOULIERS        
LIEU-DIT   EN LA BEURLOGERE           
LIEU-DIT   LE BOUCHOT GENTY           
LIEU-DIT   LE BOUCHOT MENEVET         
LIEU-DIT   LE BOULOIS                 
LIEU-DIT   BREVON                     
LIEU-DIT   LA BROSSE AU LOUP          
LIEU-DIT   LA BROSSE DES CLERS        
LIEU-DIT   LA BROSSE DES MAS          
LIEU-DIT   LES BRULIES SUR COTEAU MOR 
LIEU-DIT   AUX CARRES                 
LIEU-DIT   LA CAZOTTE                 
LIEU-DIT   LE CHAIGNOT                
LIEU-DIT   CHAMP DE LA PORTE          
LIEU-DIT   CHAMP DES PIERRES          
LIEU-DIT   CHAMP DU BLE               
LIEU-DIT   CHAMP REVIREY              
LIEU-DIT   CHAMP TABAUT               
LIEU-DIT   CHAMPS DU BOULOIS          
LIEU-DIT   CHARMOT                    
LIEU-DIT   SUR LE CHEMIN DES TROIS FO 
LIEU-DIT   COMBE A LA DENT            
LIEU-DIT   COMBE BAROT                
LIEU-DIT   LA COMBE BEAU GUILLAUME    
LIEU-DIT   COMBE CHARDON              
LIEU-DIT   COMBE DE L ETANG FOURCHU   
LIEU-DIT   COMBE DE REVINSON          
LIEU-DIT   SUR LA COMBE DU PUITS      
LIEU-DIT   COMBE DU PUITS             
LIEU-DIT   COMBE FROCHOT              
LIEU-DIT   COMBE GALLAS               
LIEU-DIT   COMBE GARNIER              
LIEU-DIT   COMBE POTEAU               
LIEU-DIT   LA COMOLLE                 
LIEU-DIT   LA COTE AU CERF            
LIEU-DIT   LA COTE AUX MOINES         
LIEU-DIT   COTE CALIN                 
LIEU-DIT   COTE DE REVINSON           
LIEU-DIT   COTE DES CARRES            
LIEU-DIT   COTE LIARD                 
LIEU-DIT   COTEAU BARDEAU             
LIEU-DIT   COTEAU BARDOT              
LIEU-DIT   COTEAU DE LAVEAU BOUCHET   
LIEU-DIT   COTEAU DE MORTOT           
LIEU-DIT   COTEAU MARTIN              
LIEU-DIT   LA COUCHE                  
LIEU-DIT   LES CREUX DE MINE          
LIEU-DIT   LA CROIX DE LA VEVRE       
LIEU-DIT   LA CROIX LANIER            
LIEU-DIT   LA CROIX MALBRANCHE        
LIEU-DIT   LA CROIX MOREAU            
LIEU-DIT   DERRIERE LE BOUCHOT GENTY  
LIEU-DIT   DERRIERE LE CHATEAU        
LIEU-DIT   DERRIERE LES BROSSES       
LIEU-DIT   DERRIERE LES GRANGES       
LIEU-DIT   AU DESSUS DE LA FORGE      
LIEU-DIT   LES ECLOSIAUX              
LIEU-DIT   EN PLAINDART               
LIEU-DIT   L ETANG FOURCHU            
LIEU-DIT   L ETANG NEUF               
LIEU-DIT   LES ETIVOTS                
LIEU-DIT   LES EVERGERES              
LIEU-DIT   LA FACHE                   
LIEU-DIT   LE FAYS D AIGNAY           
LIEU-DIT   FERME DE CHEVIGNY          
LIEU-DIT   FONTAINE VALLEROT          
LIEU-DIT   LA FORGE                   
LIEU-DIT   LE FORT FAYS               
LIEU-DIT   LE FOURCHOIX               
LIEU-DIT   LE FOURNEAU                
LIEU-DIT   FROIDE FONTAINE            
LIEU-DIT   LA GALOPINE                
