20151101
10         AUBE                          
LIEU-DIT   LE PRE JEAN JOLLY          
LIEU-DIT   LE PRE VOISIN              
LIEU-DIT   LES PRES COLLARE           
LIEU-DIT   LE  PRE  DE LA COUR        
LIEU-DIT   PRES LA CROIX DU MOULIN    
LIEU-DIT   PRES LE BOIS DE LARQUELAY  
LIEU-DIT   PRES LE CHEMIN DE BAULIEU  
LIEU-DIT   LES PRES ROUSSET           
LIEU-DIT   PROCHE LA CARRIERE         
LIEU-DIT   PROCHE LA GARENNE DE LARQU 
LIEU-DIT   LES RANDONS                
LIEU-DIT   LE RU DE NASSON            
LIEU-DIT   LES SABLES                 
LIEU-DIT   LE SAUSSI                  
LIEU-DIT   SIR FONTAINE               
LIEU-DIT   SYRE MAGNY                 
LIEU-DIT   LE TEMPLE                  
LIEU-DIT   TERRES DES CORNEES GENETTE 
LIEU-DIT   LA TETE AU BAILLY          
LIEU-DIT   LA TETE AUX CHEVAUX        
LIEU-DIT   LES USAGES                 
LIEU-DIT   SUR LES USAGES D UNIENVILL 
LIEU-DIT   LA VALLACHE                
LIEU-DIT   LES VALOTTES               
LIEU-DIT   LE VASSEUX                 
LIEU-DIT   LA VEAUX DE BARRE          
LIEU-DIT   LES VIGNES                 
LIEU-DIT   LA VIGNOTTE                
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LA VILLE AU BOIS           
LIEU-DIT   VIRETTE                    
CHEMIN     DU BOIS DE DIENVILLE       
RUELLE     DES CATIERES               
RUE        DE LA CHAPELLE             
RUE        DE L EGLISE                
GR         GRANDE RUE                 
RUE        DE JESSAINS                
RUE        DE L ORIENT                
RUE        JEAN COLLOT                
PLACE      RENE PIETREMONT            
PTR        PETITE RUE DE L EGLISE     
RUE        SAINT MARTIN               
RUE        SAINT NICOLAS              
RUE        ADRIEN SELM                
CHEMIN     D UNIENVILLE               
RUE        DES TEMPLIERS LA VILLE AUX 
ROUTE      DE LA VILLE AUX BOIS       
           commune :     ARCIS SUR AUBE                 departement : AUBE                          
LIEU-DIT   L ALLEE                    
LIEU-DIT   LES BANNES                 
LIEU-DIT   LE BAS DES ESTUARTS        
LIEU-DIT   LES BOIS DE LA COMMANDERIE 
LIEU-DIT   LE BOIS ERARD              
LIEU-DIT   BOIS MONSIEUR              
LIEU-DIT   LES CERVELES               
LIEU-DIT   LE CHALET                  
LIEU-DIT   LE CHAMP LA PIERRE         
LIEU-DIT   LE CHEMIN DE SAINT REMY    
LIEU-DIT   LE CHEMIN DU VAU           
LIEU-DIT   LE CLOS CAMUT              
LIEU-DIT   LA CROIX                   
LIEU-DIT   LA CROIX MERAT             
LIEU-DIT   DERRIERE LE GRAND BOIS     
LIEU-DIT   DERRIERE LE PARC           
LIEU-DIT   LE DISQUE                  
LIEU-DIT   LES EGREMONTS              
LIEU-DIT   LES ESTUARTS               
LIEU-DIT   LA FOSSE AUX PIERRES       
LIEU-DIT   SUR LES FOSSES             
LIEU-DIT   LE GRAND BOIS              
LIEU-DIT   LES ISLES                  
LIEU-DIT   LAGRANDE PIECE             
LIEU-DIT   LA LUNE                    
LIEU-DIT   LES NOUES                  
LIEU-DIT   LE NOYER HARIOT            
LIEU-DIT   L ORME GALLOIS             
LIEU-DIT   LE PARADIS                 
LIEU-DIT   LA PATURE AUX CHEVAUX      
LIEU-DIT   LES PATURES                
LIEU-DIT   LES PERRIERES              
LIEU-DIT   LES PETITS ORMES           
LIEU-DIT   LES PETITS RAYONS          
LIEU-DIT   PLAISANCE                  
LIEU-DIT   LES PLANTES                
LIEU-DIT   PRE CHETY                  
LIEU-DIT   PRE DORE                   
LIEU-DIT   LE PRIEURE                 
LIEU-DIT   LES QUITTAINES             
LIEU-DIT   LES RAYONS                 
LIEU-DIT   LA ROUTE DE TROYES         
LIEU-DIT   RUELLE MORTE HERBE         
LIEU-DIT   LE STAND                   
LIEU-DIT   LE TERTRE SERGENT          
LIEU-DIT   LES TROUS                  
LIEU-DIT   LES VERGERS                
LIEU-DIT   LES VIEILLES VIGNES        
LIEU-DIT   LA VILLE                   
LIEU-DIT   SAULE AU FORTIER           
LIEU-DIT   LE BAS DES TESTUATS        
LIEU-DIT   LES TESTUATS               
RUE        DES ACACIAS                
RUE        DES ANCIENS FOSSES         
RUE        ARISTIDE BRIAND            
RUELLE     DE LA BERGERIE             
           RUE DES BONNETIERS         
           RUE DES BRASSEURS          
RUE        DE BRIENNE                 
RUE        DE LA BRIFFE               
RUE        GASTON BRODARD             
RUE        DU CHALET                  
RUE        DE CHALONS                 
CRS        CHAMPION                   
RUE        DU CHAUFFOUR               
AVENUE     COLONEL DRIANT             
RUE        DES CORDELIERS             
PLACE      DANTON                     
RUE        FERNAND MAUCLAIRE          
RUE        DU GARDE                   
AVENUE     DE LA GARE                 
RUE        GENERAL SARRAIL            
RUE        DE LA GIRONDE              
RUE        DE GOMARINGEN              
RUE        DES GRANGES                
RUE        GRASSIN                    
RUE        DU GRENIER A SEL           
RUE        DU GUE                     
RUE        HENRI DUNANT               
PLACE      DES HEROS D ARCIS          
RUE        HUGUIER TRUELLE            
RUE        DES JARDINS                
RUE        JEAN JAURES                
RUE        JULES FERRY                
RUE        DE LABRIFFE                
RUE        DE LA MALTERIE             
QUAI       DE LA MARINE               
RUE        DE LA MARINE               
RUE        DES MARINIERS              
RUE        DES MARRONNIERS            
           RUE MERGEZ                 
RUELLE     DE MONTREUIL               
RUE        DES MOULINS                
RUE        DES MURS                   
           RUE NAPOLEON               
RUE        NEUVE                      
MAIL       NOTRE DAME                 
CHEMIN     NOTRE DAME                 
RUELLE     NOTRE DAME                 
TRT        NOTRE DAME                 
IMPASSE    DE NOZAY                   
ROUTE      DE NOZAY                   
CHEMIN     DE L ORME GALLOIS          
ROUTE      D ORMES                    
RUE        MARCELLIN PAJOT            
CHEMIN     DU PARADIS                 
RUE        DU PARC                    
RUE        DE PARIS                   
RUE        PASTEUR                    
