20151101
LIEU-DIT   LES TRENTE DEUX SETIERS    
LIEU-DIT   LA VALLEE DE COULOMMIERS   
LIEU-DIT   LE VALLERY                 
LIEU-DIT   LA VIEUVILLE               
LIEU-DIT   LE VIEUX MOULIN            
LIEU-DIT   VILBON                     
LIEU-DIT   LE PLATEAU                 
LIEU-DIT   CLOS DE LA POTERIE         
LIEU-DIT   CLOS DES PATURES           
CHEMIN     DES AMOUREUX               
RUE        AMAND RAIMBERT             
RUE        DE LA BASSE COUR           
RUE        DES BLES D OR              
RUE        DES BLEUETS                
CHEMIN     DES BOIS                   
RUE        DE LA BRETONNERIE          
PLACE      DU CALVAIRE                
PLACE      DU DONJON                  
AVENUE     CHEVALLIER DEBEAUSSE       
RUE        DES COQUELICOTS            
RUE        DU COTEAU                  
RUE        DU DOLMEN                  
IMPASSE    DU DONJON                  
RUE        DE LA CAVEE                
RUE        FLORIMOND ROBERTET         
PLACE      DE LA FORGE                
RUE        DES FOSSES                 
RUE        DE LA FOSSE AUX CHEVAUX    
RUE        DES GLANIERS               
GR         GRANDE RUE                 
RUE        DU GUE                     
GR         GRANDE RUE                 
RUE        DES CLAPIERS               
RUE        DE LA DAME BLANCHE         
RUE        HENRI TREMBLAY             
RUE        DU MENHIR                  
RUE        DE LA MOTTE                
RUE        DU MOULIN                  
RUE        DES MYOSOTIS               
RUE        DU POLISSOIR               
RUE        DE LA POTERIE              
IMPASSE    DES NIELLES                
RUE        DES PRAIRIES               
ROUTE      DE DANGEAU                 
IMPASSE    DE LA SOURCE               
RUE        DU SOUVENIR                
RUE        DU TRAMWAY                 
RUE        DE TRIZAY                  
RUE        DES VIOLETTES              
           commune :     AMILLY                         departement : EURE ET LOIR                  
LIEU-DIT   LES ARPENTS                
LIEU-DIT   LES BAGUENS                
LIEU-DIT   LE BARIOT                  
LIEU-DIT   LA BARRE                   
LIEU-DIT   LE BERCEAU                 
LIEU-DIT   BILLIENTRU                 
LIEU-DIT   BOISSAY                    
LIEU-DIT   LES BORNES BLANCHES        
LIEU-DIT   LE BUCHOT                  
LIEU-DIT   LA BUTTE CARNIS            
LIEU-DIT   LA CABOURDE                
LIEU-DIT   LE CARCAN                  
LIEU-DIT   LA CAVE                    
LIEU-DIT   LES CHAISES                
LIEU-DIT   LES CHAMPS BATAILLE        
LIEU-DIT   LES CHAMPS FOURRES         
LIEU-DIT   CHEMIN DE FONTAINE         
LIEU-DIT   LES CLOS DROUINS           
LIEU-DIT   LES CLOS MARGIS            
LIEU-DIT   LE CLOS MENARD             
LIEU-DIT   LES COURTILLES             
LIEU-DIT   LE CROC                    
LIEU-DIT   LA CROIX DU CHENET         
LIEU-DIT   LA CROTTE AU RENARD        
LIEU-DIT   DONDAINVILLE               
LIEU-DIT   LES EMPRUNTS               
LIEU-DIT   L EPINE DE LA NOUE         
LIEU-DIT   L ETANG                    
LIEU-DIT   LES FAUCONNERIES           
LIEU-DIT   LES FORGES                 
LIEU-DIT   LE GOUAPRE                 
LIEU-DIT   LA GROSSE PIERRE           
LIEU-DIT   LE HAUT POUILLET           
LIEU-DIT   LES HAUTAINES              
LIEU-DIT   LES LANDES                 
LIEU-DIT   LES MAISONS BLANCHES       
LIEU-DIT   LA MARE DU CROC            
LIEU-DIT   MONDONVILLE                
LIEU-DIT   MONTOIZON                  
LIEU-DIT   LES MONTS D OUERRAY        
LIEU-DIT   LE MOULIN                  
LIEU-DIT   LE MOULIN CHU              
LIEU-DIT   LE MUID AU BLANC           
LIEU-DIT   NOUDIN                     
LIEU-DIT   LA NOUE                    
LIEU-DIT   LES NOUES                  
LIEU-DIT   OUERRAY                    
LIEU-DIT   PECANTE                    
LIEU-DIT   LA PETITE JUSTICE          
LIEU-DIT   LES PETITES BRUYERES       
LIEU-DIT   LES POQUETES               
LIEU-DIT   LA PRALE                   
LIEU-DIT   LES RAVINES                
LIEU-DIT   LES REAUX                  
LIEU-DIT   LA RUETTE                  
LIEU-DIT   LES SAULES BROBIONS        
LIEU-DIT   LES SIX CHEMINS            
LIEU-DIT   LES TERRES ROUGES          
LIEU-DIT   VALLEE DE FONTENAY         
LIEU-DIT   VALLEE DE LUISANT          
LIEU-DIT   VALLEE DES NOUES           
LIEU-DIT   LA VALLEE JEAN REINE       
LIEU-DIT   VALLEE MONNAYE             
LIEU-DIT   LA VALLEE RICHE            
LIEU-DIT   LES VAUX CHALLET           
LIEU-DIT   LA VIEILLE BUTTE           
LIEU-DIT   LES VIEILLES MARNIERES     
LIEU-DIT   LE VIEUX CHATEAU           
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   P N 6                      
LIEU-DIT   P N 39                     
IMPASSE    DES ACACIAS                
RUE        DES ACACIAS                
RUE        DES ALOUETTES              
RUE        DE BAILLEAU                
IMPASSE    DES BLES D OR              
RUE        CHARLES PEGUY              
RUE        DU CHATEAU                 
RUE        DE CHARTRES                
RUE        DU CHATEAU D EAU           
RUE        DE CINTRAY                 
RUE        DES BOUVREUILS             
RUE        DES CINQ CROIX             
RUE        DES CINQ ORMES             
RUE        DU CLOS D AMILLY           
RUE        EMILE LOUBET               
IMPASSE    DES FAUCONNERIES           
RUE        DES FAUCONNERIES           
IMPASSE    DE LA FOLIE                
RUE        DE LA GARE                 
IMPASSE    DU GOUAPRE                 
RUE        DE LA GRANDE MARE          
RUE        DU HUIT MAI 1945           
CHEMIN     JEAN MOULIN                
RUE        JEAN MOULIN                
IMPASSE    DES MARNIERES              
RUE        MAURICE GENEVOIX           
RUE        DE MAINDREVILLE            
RUE        DES MARNIERES              
RUE        DE LA MAIRIE               
CHEMIN     DE MANDE                   
IMPASSE    PASTEUR                    
IMPASSE    DES MOISSONS               
RUE        DES PECHEURS               
RUE        DES PINSONS                
RUE        DU QUINZE AOUT 1944        
RUE        DE LA PLAINE               
RUE        DE LA REPUBLIQUE           
RUE        DU ROTOIR                  
IMPASSE    DU PETIT BOIS              
RUE        DE LA RUETTE               
IMPASSE    DE SAINT AUBIN             
IMPASSE    DES SEMAILLES              
RUE        DE SAINT AUBIN             
RUE        PASTEUR                    
IMPASSE    DU STADE                   
IMPASSE    DE LA VALLEE               
RUE        DES VAUROUX                
ROUTE      NATIONALE 23               
PLACE      DU MAIL                    
RUE        VICTOR HUGO                
RUE        DES MESANGES               
           commune :     ANET                           departement : EURE ET LOIR                  
           LE DEBUCHER                
LIEU-DIT   ALLEE DROITE D OULINS      
LIEU-DIT   ALLEE GAUCHE D OULINS      
LIEU-DIT   ANET                       
LIEU-DIT   LA BARILLETTE              
LIEU-DIT   BAS D AIGREMONT            
LIEU-DIT   LES BAS FRICHE             
LIEU-DIT   BEL AIR                    
LIEU-DIT   LE BROCHER ROTI            
LIEU-DIT   LE CHAMP HOCHET            
LIEU-DIT   LA CHARMOIE                
LIEU-DIT   LE CHEMIN VERT             
LIEU-DIT   CHENEVIERES DE LA GUERRE   
LIEU-DIT   LE CLOS AUX BOEUFS         
LIEU-DIT   CLOS LEZARD                
LIEU-DIT   LE CLOS RICHOUX            
LIEU-DIT   LE COQ A L ORGE            
LIEU-DIT   LE CORMIER                 
LIEU-DIT   COTE DE DREUX              
LIEU-DIT   LA COUDRE                  
LIEU-DIT   LA CROIX BUISEE            
LIEU-DIT   LA CROIX SAINT LAIN        
LIEU-DIT   LA DOUSSEINE               
LIEU-DIT   DROITE DU CHEMIN DE DREUX  
LIEU-DIT   LES DURVYS                 
LIEU-DIT   SUR L ETANG                
LIEU-DIT   LA GARENNE                 
LIEU-DIT   GAUCHE DU CHEMIN DE DREUX  
LIEU-DIT   GDS MOULINS ET LES CORDELI 
LIEU-DIT   LA GREDINERIE              
LIEU-DIT   LE GROS HETRE              
LIEU-DIT   LES GROS PRES              
LIEU-DIT   HAYE D ANET                
LIEU-DIT   L ILE DE L EAN             
LIEU-DIT   LES JARDINS D ANET         
LIEU-DIT   LA JONQUIERE               
LIEU-DIT   LES LONGUES HANTES         
LIEU-DIT   LE MONT SINAI              
LIEU-DIT   MOULIN METEY               
LIEU-DIT   LE PARC                    
LIEU-DIT   PATURE DU BRIGAULT         
LIEU-DIT   LE PERDRIEL                
LIEU-DIT   LE PEROU                   
LIEU-DIT   LES PETITES VIGNES         
LIEU-DIT   LE PICQUET                 
LIEU-DIT   LE POTAGER                 
LIEU-DIT   PRE DE L ETANG             
LIEU-DIT   PRES DU PARC               
LIEU-DIT   LES QUATRE ARPENS          
LIEU-DIT   LA REDOUTE                 
LIEU-DIT   SENTE DES DUVAUX           
LIEU-DIT   VIGNE DES FOURS A CHAUX    
LIEU-DIT   VIGNES D AIGREMONT         
LIEU-DIT   VIGNES DE LA CARRIERE      
LIEU-DIT   VIGNES DES ROGERS          
LIEU-DIT   VIGNES DU CHEMIN VERT      
LIEU-DIT   VIGNES DU CHESNOT          
