20151101
2A         CORSE SUD                     
RESIDENCE  PARC LUCIE BAT ROSSO       
RESIDENCE  GENETS D'ALZO              
RESIDENCE  HLM SAINT PAUL             
RESIDENCE  LES SAULES                 
RESIDENCE  SANTA MATALENA             
RESIDENCE  SANTA LINA                 
RESIDENCE  LE FIORELLA SANTA LINA     
RESIDENCE  LE MARINELLA SANTA LINA    
RESIDENCE  MARINELLA 3                
RESIDENCE  VILLA D'ALEXANDRIE         
RESIDENCE  ADOMA CAMPO DI FIORI       
RESIDENCE  DOMAINE DE LA CONFINA 2    
           RES LA PINEDE SANTA LINA   
TERRASSE   DES SANGUINAIRES           
RESIDENCE  ALBERT 1ER                 
RESIDENCE  CORALLINES BT F            
RESIDENCE  CORALLINES BAT E           
RESIDENCE  MARENGO                    
RESIDENCE  VALLE SERENA               
RESIDENCE  RESIDENCE IMAGO MUNDI      
RESIDENCE  LES VIOLETTES  ASPRETTO    
RESIDENCE  LES GRENADINES             
RESIDENCE  A SETA CHEMIN DE CANDIA    
           GRENADINES BT A            
RESIDENCE  LE VIVALDI 1               
RESIDENCE  IMAGO MUNDI 2              
RESIDENCE  LES COLLINES DU RICANTO    
RESIDENCE  LES TERRASSES DU LAZARET   
RESIDENCE  LE VIVALDI 2               
RESIDENCE  LE BELVEDERE CAVONE        
LIEU-DIT   ACCIOLE                    
LIEU-DIT   ACQUA SALSA                
LIEU-DIT   ACQUALONGA                 
LIEU-DIT   AGNIONE                    
LIEU-DIT   AJA DI MAESTRONE           
LIEU-DIT   ALZE LE PIAGIE             
LIEU-DIT   ALZO DI LEVA               
LIEU-DIT   ALZO FRASSATO              
LIEU-DIT   ARBAJOLA                   
LIEU-DIT   ARBITRONE                  
LIEU-DIT   L ARIADNE                  
LIEU-DIT   ARMORACI ET PENDICOLI      
LIEU-DIT   ARZUTA                     
LIEU-DIT   ASPRETTO                   
LIEU-DIT   ASPRIVO                    
LIEU-DIT   BACCIOCHI                  
LIEU-DIT   BALAJAGGIO                 
LIEU-DIT   BALESTRINO                 
LIEU-DIT   BARBICAJA                  
LIEU-DIT   BARBICAJA L AJUDANTE       
LIEU-DIT   BARCAJO                    
LIEU-DIT   BARRACHE                   
LIEU-DIT   LES BARRAQUES              
LIEU-DIT   BARRETTA                   
LIEU-DIT   BAUSA                      
LIEU-DIT   BELVEDERE                  
LIEU-DIT   BESCIO                     
LIEU-DIT   BIANCARELLO                
LIEU-DIT   BODICCIONE                 
LIEU-DIT   BOIS DES ANGLAIS           
LIEU-DIT   BOSCHETTO                  
LIEU-DIT   BRUSCHETO                  
LIEU-DIT   BUCHEGLIA                  
LIEU-DIT   BUDICCIE                   
LIEU-DIT   BUDICCIONI                 
LIEU-DIT   BUGIA MORTA                
LIEU-DIT   CACALOVO                   
LIEU-DIT   CACCARELLO                 
LIEU-DIT   CALA DI RETA               
LIEU-DIT   CALA DI SOLE               
LIEU-DIT   CALENCHES                  
LIEU-DIT   CAMPICCIOLI                
LIEU-DIT   CAMPO DELL ORO             
LIEU-DIT   CAMPO DI FIORI             
LIEU-DIT   CAMPOLACCIE                
LIEU-DIT   CANAZZO                    
LIEU-DIT   CANDIA                     
LIEU-DIT   CANELLI                    
LIEU-DIT   CANNE                      
LIEU-DIT   LES CANNES                 
LIEU-DIT   CANNICCIO                  
LIEU-DIT   CANNICCIO ET FORCONE       
LIEU-DIT   CANOVA                     
LIEU-DIT   CANTA PICHIENESA           
LIEU-DIT   CAPIGLIOLO                 
LIEU-DIT   CAPO D ALZICCIU            
LIEU-DIT   CAPO DA RENASCA            
LIEU-DIT   CAPROFICO                  
LIEU-DIT   CARA                       
LIEU-DIT   CARDICCIA                  
LIEU-DIT   CARMINO                    
LIEU-DIT   LA CARROSACCIA             
LIEU-DIT   CASERNE LIVRELLI           
LIEU-DIT   CASETTA E COLLI            
LIEU-DIT   CASINCHIO                  
LIEU-DIT   CASONE                     
LIEU-DIT   CASTELLUCCIO               
LIEU-DIT   CAVA                       
LIEU-DIT   CAVONE                     
LIEU-DIT   CHAPELLE ARENA             
LIEU-DIT   CHAPELLE DES GRECS         
LIEU-DIT   CHIOSELLO                  
LIEU-DIT   CHIOSO DELL AJA            
LIEU-DIT   CHIOSTRONE                 
LIEU-DIT   CIONTRA                    
LIEU-DIT   CITADELLE                  
LIEU-DIT   CITE DES CANNES            
LIEU-DIT   CLOS DES GRECS             
LIEU-DIT   CODIMOZZU                  
LIEU-DIT   COLLETA DI MEZZAVIA        
LIEU-DIT   COLLO LONGO                
LIEU-DIT   CONDUTTO                   
LIEU-DIT   CONFINA                    
LIEU-DIT   CONFINACCIA                
LIEU-DIT   CONFINELLA                 
LIEU-DIT   CONFINS DE LUMINAGGIA      
LIEU-DIT   CROIX D'ALEXANDRE          
LIEU-DIT   CURZETELLO                 
LIEU-DIT   CURZETO                    
LIEU-DIT   ERBAGGIONE                 
LIEU-DIT   FAVALE                     
LIEU-DIT   FIGARELLA                  
LIEU-DIT   FINOCCHIAJA                
LIEU-DIT   FINOCCHIO                  
LIEU-DIT   FINOSA                     
LIEU-DIT   FINOSELLO                  
LIEU-DIT   FORCIO                     
LIEU-DIT   FORCONE                    
LIEU-DIT   FRANZONE                   
LIEU-DIT   FRASSELLI                  
LIEU-DIT   FRATI                      
LIEU-DIT   GIAGIARELLA                
LIEU-DIT   GIUNCAGGIO                 
LIEU-DIT   GROTTE                     
LIEU-DIT   GUGLIAMACCIA               
LIEU-DIT   ILES DES CORMORANS         
LIEU-DIT   ILES DES SANGUINAIRES      
LIEU-DIT   ISOLA DI CALA D ALGA       
LIEU-DIT   ISOLA DI PORRI             
LIEU-DIT   JACUMINU                   
LIEU-DIT   LES JARDINS DE L EMPEREUR  
LIEU-DIT   LES JESUITES               
LIEU-DIT   JESUITI                    
LIEU-DIT   LACURATA                   
LIEU-DIT   LAMUCCIO                   
LIEU-DIT   LIANACCIO                  
LIEU-DIT   LISA                       
LIEU-DIT   LO POZZO                   
LIEU-DIT   LORETO                     
LIEU-DIT   LUMINAGGIA                 
LIEU-DIT   MACIAMPA                   
LIEU-DIT   MADUNUCCIA                 
LIEU-DIT   MAESTRELLO                 
LIEU-DIT   MAGGINA                    
LIEU-DIT   MAGNATA                    
LIEU-DIT   MALFACCIO                  
LIEU-DIT   MANICOLA VECCHIA           
LIEU-DIT   MARCAGGIO                  
LIEU-DIT   MARGONAGGIO                
LIEU-DIT   MARIASTELLA                
LIEU-DIT   MARINACCIA                 
LIEU-DIT   MARIUCCIO                  
LIEU-DIT   MEDICI                     
LIEU-DIT   MELA                       
LIEU-DIT   MELETTO                    
LIEU-DIT   MEZZAVIA                   
LIEU-DIT   MILELLI                    
LIEU-DIT   MINIATOJO                  
LIEU-DIT   MOLINACCIO                 
LIEU-DIT   MONTE CACALOVO             
LIEU-DIT   MONTE ROSSO                
LIEU-DIT   MORONE                     
LIEU-DIT   LES MOULINS BLANCS         
LIEU-DIT   MOZZO                      
LIEU-DIT   MULINACCIO                 
LIEU-DIT   OGLIASTRO                  
LIEU-DIT   OLIVETTO                   
LIEU-DIT   L OLMO                     
LIEU-DIT   PADULE                     
LIEU-DIT   PADULELLA                  
LIEU-DIT   LES PADULES                
LIEU-DIT   PAGLIAGLIOLI               
LIEU-DIT   PALMA                      
LIEU-DIT   PARATA                     
LIEU-DIT   PARC BERTHAULT FAGNI       
LIEU-DIT   PARC BERTHAULT LERREDU     
LIEU-DIT   PARC BERTHAULT LES CACTUS  
LIEU-DIT   PARC BERTHAULT LES CEDRES  
LIEU-DIT   PARC BERTHAULT LES DRAGONN 
LIEU-DIT   PARC BERTHAULT LES PALMIER 
LIEU-DIT   PASCIPECORA                
LIEU-DIT   PATELLO                    
LIEU-DIT   PEDILONGO                  
LIEU-DIT   PENDIGLIOLI                
LIEU-DIT   PENNACCIA                  
LIEU-DIT   PENTONI                    
LIEU-DIT   PETACCA                    
LIEU-DIT   PETRABELLA                 
LIEU-DIT   PIETRABELLA                
LIEU-DIT   PETRINCA                   
LIEU-DIT   PIAGIARELLA                
LIEU-DIT   PIEDIZZOVENA               
LIEU-DIT   PIETRA                     
LIEU-DIT   PIETRA ALATA               
LIEU-DIT   PIETRA CANNAGGIA           
LIEU-DIT   PIETRA DI MELA             
LIEU-DIT   PIETRA ROSSA               
LIEU-DIT   PIETRALBA                  
LIEU-DIT   PIETRINA                   
LIEU-DIT   LE PISINALE                
LIEU-DIT   PLAINE DE SEVANI           
LIEU-DIT   PORCELONE                  
LIEU-DIT   PORCILELLI                 
LIEU-DIT   POZZACCIO                  
LIEU-DIT   POZZO MOZZO                
LIEU-DIT   PRASCO                     
LIEU-DIT   PRATALE                    
LIEU-DIT   PRATE MARTINO              
LIEU-DIT   PRATTI                     
LIEU-DIT   PRC BELVEDERE              
LIEU-DIT   PRC GRAND HOTEL            
LIEU-DIT   PRESA DE SEVANI            
LIEU-DIT   PRUNELLI                   
LIEU-DIT   PUNTA E FRATI              
LIEU-DIT   PUNTA LA VENA              
LIEU-DIT   PUNTA MOZZA                
