20151101
LIEU-DIT   LES MOINES NORD            
LIEU-DIT   LES MOINES SUD             
LIEU-DIT   MONTALIVET                 
LIEU-DIT   MOULENC NORD               
LIEU-DIT   AU MOULIN                  
LIEU-DIT   PADENES                    
LIEU-DIT   PANGAGNAT                  
LIEU-DIT   LA PAPAYETE                
LIEU-DIT   PAVILLON                   
LIEU-DIT   PEPISPO                    
LIEU-DIT   PEYROU                     
LIEU-DIT   PLAINE D EMBATLAREGUE      
LIEU-DIT   PLAINE DE BARDIGUES        
LIEU-DIT   PLAINE DE REY              
LIEU-DIT   LA PLANEZE                 
LIEU-DIT   AU PONT                    
LIEU-DIT   PONT NEUF                  
LIEU-DIT   LE PORT                    
LIEU-DIT   POUTANTAN                  
LIEU-DIT   POUTOY                     
LIEU-DIT   POUTOY BAS                 
LIEU-DIT   LE RAMIER                  
LIEU-DIT   RANQUET                    
LIEU-DIT   RAT                        
LIEU-DIT   REGIS                      
LIEU-DIT   REY                        
LIEU-DIT   RICOT                      
LIEU-DIT   RIGAL NORD                 
LIEU-DIT   LE ROC                     
