20151101
16         CHARENTE                      
LIEU-DIT   CRIQUEUIL                  
LIEU-DIT   CROIX DE LA TUILIERE       
LIEU-DIT   LES DUFFETS                
LIEU-DIT   L ECAILLOT                 
LIEU-DIT   LES FENETRES               
LIEU-DIT   LE FOND DE LA COMBE        
LIEU-DIT   FOND DES COMBES            
LIEU-DIT   LES FONDS                  
LIEU-DIT   FONDS DES COMBES           
LIEU-DIT   FONT MAZA                  
LIEU-DIT   FOUGERE                    
LIEU-DIT   LE FOUILLOUX               
LIEU-DIT   FOURNICARD                 
LIEU-DIT   LES GARRAUDS               
LIEU-DIT   LES GARRAUX                
LIEU-DIT   AUX GENETS                 
LIEU-DIT   LES GENETS                 
LIEU-DIT   LES GERBELOTS              
LIEU-DIT   LE GRAND GOULET            
LIEU-DIT   LE GRAND TAILLIS           
LIEU-DIT   LE GRAND VILLARS           
LIEU-DIT   LA GRANDE RIVIERE          
LIEU-DIT   LES GRANDS CHAMPS          
LIEU-DIT   LA GRANGE                  
LIEU-DIT   GRATTE CHEVRE              
LIEU-DIT   GRIGUEUIL                  
LIEU-DIT   LA GUILLARDE               
LIEU-DIT   LES HAUTES ECURES          
LIEU-DIT   LES JOUHANETS              
LIEU-DIT   LES LANDES                 
LIEU-DIT   LA LIGNOLLE                
LIEU-DIT   LES LONGEES                
LIEU-DIT   LES MARTONNAUX             
LIEU-DIT   LES MAUBRAS                
LIEU-DIT   LE MONAC                   
LIEU-DIT   LA MOUSSIERE               
LIEU-DIT   LA NOUGEREE                
LIEU-DIT   LA PETITE RIVIERE          
LIEU-DIT   LE PEYRAT                  
LIEU-DIT   LES PIERRIERES             
LIEU-DIT   LES PLACETTES BASSES       
LIEU-DIT   LES PLACETTES HAUTES       
LIEU-DIT   LE POIRIER                 
LIEU-DIT   LE PONT D AGRIS            
LIEU-DIT   LA POTENCE                 
LIEU-DIT   AU PRE                     
LIEU-DIT   PRE DE L ILE               
LIEU-DIT   PRE DU GOURS               
LIEU-DIT   PRES BERNARD               
LIEU-DIT   PRES DE L OUILLERE         
LIEU-DIT   PRES DE L OUILLIERE        
LIEU-DIT   PRES DE LA TORTE           
LIEU-DIT   LA PREVERADE               
LIEU-DIT   LE PUYSSAGUET              
LIEU-DIT   LE RENCLOS                 
LIEU-DIT   LES ROCS DE LA GRANGE      
LIEU-DIT   LES ROUYAUX                
LIEU-DIT   LE TEIL                    
LIEU-DIT   TERRES DE CHEZ FOUCAUD     
LIEU-DIT   TREIZE VENTS               
LIEU-DIT   LA TREPIGE                 
LIEU-DIT   LE TROU DU CHIEN           
LIEU-DIT   TROU DU CHIEN              
LIEU-DIT   LA TUILIERE                
LIEU-DIT   LES VIEILLES VAURES        
LIEU-DIT   LE ROND POINT LIMOUSIN     
           commune :     AIGNES-ET-PUYPEROUX            departement : CHARENTE                      
LIEU-DIT   L ABIME                    
LIEU-DIT   L ARGILE                   
LIEU-DIT   L AVENAUD                  
LIEU-DIT   LES AVENAUDS               
LIEU-DIT   BAISSE DU BOIS             
LIEU-DIT   AUX BALANCES               
LIEU-DIT   LES BEAUFINIES             
LIEU-DIT   LA BERGNE                  
LIEU-DIT   LA BERTINIERE              
LIEU-DIT   AUX BOIES                  
LIEU-DIT   BOIS DABRAND               
LIEU-DIT   BOIS DE L ECHO             
LIEU-DIT   BOIS DE LA CAVE            
LIEU-DIT   BOIS DE LA GAUTRIE         
LIEU-DIT   BOIS DE LA MAISON NEUVE    
LIEU-DIT   BOIS DE LA SERIE           
LIEU-DIT   BOIS DE LAVAURE            
LIEU-DIT   BOIS DES HERIES            
LIEU-DIT   BOIS DU DAIL               
LIEU-DIT   BOISBOURDEAU               
LIEU-DIT   LE BOUET                   
LIEU-DIT   LES BOULATS                
LIEU-DIT   LE BOURG                   
LIEU-DIT   LA BRANDILLE               
LIEU-DIT   CANTON DU LEVIS            
LIEU-DIT   LES CARDINAUX              
LIEU-DIT   CHABRAND                   
LIEU-DIT   LA CHAGNAIE                
LIEU-DIT   CHAMP DE LA DENISE         
LIEU-DIT   CHAMP DE MENOT             
LIEU-DIT   LES CHANCELIERS            
LIEU-DIT   LA CHARBONNIERE            
LIEU-DIT   LES CHATAIGNERAIES         
LIEU-DIT   CHATAIGNIER SOURD          
LIEU-DIT   LA CHAUME                  
LIEU-DIT   AUX CHAUMES                
LIEU-DIT   CHEMIN BAUDUT              
LIEU-DIT   AU CHENE                   
LIEU-DIT   CHEZ BERNAUD               
LIEU-DIT   CHEZ BOUCHER               
LIEU-DIT   CHEZ BOULLAUD              
LIEU-DIT   CHEZ CREZANNE              
LIEU-DIT   CHEZ GROS JEAN             
LIEU-DIT   CHEZ JAMBON                
LIEU-DIT   CHEZ JEAN LE GARDE         
LIEU-DIT   CHEZ LAGNEAU               
LIEU-DIT   CHEZ TOUPE                 
LIEU-DIT   CHEZ TREBILLE              
LIEU-DIT   AUX CLOS                   
LIEU-DIT   LA COMBE                   
LIEU-DIT   COMBE MOTARD               
LIEU-DIT   AUX COMBETTES              
LIEU-DIT   LA CROIX                   
LIEU-DIT   CROIX DU PALET             
LIEU-DIT   CROIX VERDELET             
LIEU-DIT   AU CURADIS                 
LIEU-DIT   L EAU MORTE                
LIEU-DIT   ETANG DE GOUYAT            
LIEU-DIT   AUX FAURES                 
LIEU-DIT   LA FONTAINE                
LIEU-DIT   FONTAINE DE CHEZ TOUPE     
LIEU-DIT   FONTAINE DE JEANNOT        
LIEU-DIT   FONTAINE DE L EPINE        
LIEU-DIT   FONTAINE DE LA MARTINE     
LIEU-DIT   FONTAINE DU COURSIER       
LIEU-DIT   FONTAINE TURCAUD           
LIEU-DIT   FONTAINE VIEILLE           
LIEU-DIT   FORET DE LA MAGNANTE       
LIEU-DIT   LES FOSSES                 
LIEU-DIT   LA GAUTRIE                 
LIEU-DIT   AUX GAUVINS                
LIEU-DIT   GRAND CANTON               
LIEU-DIT   GRAND TAILLIS              
LIEU-DIT   GRANDE CHAUME              
LIEU-DIT   GRANDE PIECE               
LIEU-DIT   LA GRANDE PIECE            
LIEU-DIT   LES GRANDES BRANDES        
LIEU-DIT   GRANDES TERRES             
LIEU-DIT   AUX GRANDES VIGNES         
LIEU-DIT   GRANDES VIGNES             
LIEU-DIT   LES GRANDS CHAMPS          
LIEU-DIT   GRAVAIL DE COYOUX          
LIEU-DIT   LA GRAVE                   
LIEU-DIT   LES GRAVES                 
LIEU-DIT   LES HERIES                 
LIEU-DIT   LAUVIGNAT                  
LIEU-DIT   LAVAURE                    
LIEU-DIT   LE MAINE BERNIER           
LIEU-DIT   LE MAINE BOUCHERIE         
LIEU-DIT   LE MAINE BRUNAUD           
LIEU-DIT   LE MAINE GUILLEN           
LIEU-DIT   LE MAINE LA FONTAINE       
LIEU-DIT   LE MAINE VIAUD             
LIEU-DIT   LA MAISON NEUVE            
LIEU-DIT   LA MERLERIE                
LIEU-DIT   LE MILLERAT                
LIEU-DIT   LA MIMAUDE                 
LIEU-DIT   LA MINAUDE                 
LIEU-DIT   AU MORILLON                
LIEU-DIT   MOULIN D AIGNES            
LIEU-DIT   MOULIN DE COYOUX           
LIEU-DIT   LA NAUDERIE                
LIEU-DIT   LES NOYERS                 
LIEU-DIT   AU PARC                    
LIEU-DIT   LE PETINGAUD               
LIEU-DIT   LES PETITES LANDES         
LIEU-DIT   PETITS BOIS DE LA CAVE     
LIEU-DIT   LES PETITS PRES            
LIEU-DIT   PIECE DU CORMIER           
LIEU-DIT   PIECE DU PONT              
LIEU-DIT   AUX PLANCHES               
LIEU-DIT   LA PLANETE                 
LIEU-DIT   PLANTES DES BRANDES        
LIEU-DIT   POMMIER DE GARDE           
LIEU-DIT   PONT AU MERLE              
LIEU-DIT   PONT DE LEPAUD             
LIEU-DIT   LES PRADEAUX               
LIEU-DIT   AUX PRADELLES              
LIEU-DIT   PRE FERME                  
LIEU-DIT   PRES DE L EPINARD          
LIEU-DIT   PRES DE LA CAVE            
LIEU-DIT   PRES DE LA FONTAINE        
LIEU-DIT   PRES DE LA NAUVE           
LIEU-DIT   PRES DE LA ROCHE           
LIEU-DIT   PRES DES JONCS             
LIEU-DIT   PUYPEROUX                  
LIEU-DIT   LA QUEUE DE L AGEASSE      
LIEU-DIT   LA REGANNE                 
LIEU-DIT   LES ROCS                   
LIEU-DIT   LA ROIE                    
LIEU-DIT   LES ROUTES                 
LIEU-DIT   LE RUISSEAU                
LIEU-DIT   LES SABLES                 
LIEU-DIT   LA SABLIERE                
LIEU-DIT   LES SABLONS                
LIEU-DIT   LES SEILLERAUDS            
LIEU-DIT   LA SERIE                   
LIEU-DIT   SOUS LA FOSSE              
LIEU-DIT   SOUS LA VIGNE              
LIEU-DIT   SOUS LES JARDINS           
LIEU-DIT   LE TAVILLARD               
LIEU-DIT   TERRES DE L AGEASSE        
LIEU-DIT   TERRES DU BOIS             
LIEU-DIT   TERRES DU MAINE BASTARD    
LIEU-DIT   EN VERGERIE                
LIEU-DIT   VIGNE DES CARDINAUX        
LIEU-DIT   VIGNES DE L ABEILLE        
LIEU-DIT   ABBAYE DE PUYPEROUX        
           commune :     AIGRE                          departement : CHARENTE                      
LOT        COMMUNAL LA BROUSSETTE     
RESIDENCE  DES OISEAUX                
RESIDENCE  DU RENCLOS                 
LIEU-DIT   L AVIT DU MOULIN           
LIEU-DIT   BOIS BILLON                
LIEU-DIT   BOIS DE L AGE              
LIEU-DIT   BOIS DE LA FAYE            
LIEU-DIT   BOIS DE LA SABLIERE        
LIEU-DIT   LE BOURG                   
LIEU-DIT   LA BROUSSETTE              
LIEU-DIT   LE BUC                     
LIEU-DIT   LES CALLARS                
LIEU-DIT   LE CAMUS                   
LIEU-DIT   LES CESSACS                
LIEU-DIT   CHAMPS DES LIMBERES        
LIEU-DIT   LES CHARRIERES             
LIEU-DIT   LES CHATELARS              
LIEU-DIT   LES CHEBANNES              
LIEU-DIT   LES CHEBANNES NORD         
LIEU-DIT   LES CHEBANNES SUD          
LIEU-DIT   LA COMBE                   
LIEU-DIT   CREVE COEUR                
LIEU-DIT   DANS LE PORT               
LIEU-DIT   LA FAYE                    
LIEU-DIT   LA FONTAINE DU GEAU        
LIEU-DIT   LE FOUQUERANT              
