20151101
976         MAYOTTE                       
CHEMIN     DU BOUGAINVILLIER          
RUE        BOUNGOU BE                 
CHEMIN     MANGA BOURY                
CHEMIN     BOUTSI                     
VEN        DU CAPOQUIER               
RUE        DE LA CASCADE              
CHEMIN     DADI CHAOURY               
VEN        FATIMA MADI CHEIHI         
RUE        DU MONT CHICONI            
VEN        VITA CHILENI               
RUE        DU CIMETIERE               
ROUTE      DU CIMETIERE               
CHEMIN     DU CIMETIERE COCONI        
VEN        BOIRA COUCHA               
RUE        DABLOUKOU                  
CHEMIN     DABLOUKOU                  
VEN        DAHABOU                    
RUE        DES DECASES                
CHEMIN     ASSANI DIMASSI             
RUE        DU DISPENSAIRE             
CHEMIN     DIVA                       
CHEMIN     ASSANI DJOUMA              
CHEMIN     ALI DJOUMOI                
CHEMIN     DU CAPOQUIER               
IMPASSE    DOUA                       
PLACE      DU PONT EST                
CHEMIN     DJOUMA FADILLAH            
RUE        DJOUMA FADILLAH            
RUE        EVA SOLA                   
RUE        FRUIT A PAIN               
VEN        FALAFA                     
CHEMIN     ZOKY FANOUNY               
CHEMIN     FLAMBOYANT                 
CHEMIN     ZAMA FONTE                 
RUE        ZAMA FONTE                 
RUE        GAGNE                      
VEN        GAGNE                      
CHEMIN     DADI GOUOI                 
CHEMIN     DU GOYAVIER                
CHEMIN     GUINIGUINI                 
RUE        GUINIGUINI                 
CHEMIN     MADI HAMISSI               
CHEMIN     HANALE                     
PLACE      HAREZA                     
CHEMIN     HARIRI                     
VEN        AHMED HAROUSSI             
CHEMIN     BOURA HOURABI              
VEN        DU JAQUIER                 
RUE        KALOU                      
CHEMIN     KAMISSI                    
CHEMIN     KAMNONOU                   
CHEMIN     KANDIASSE                  
CHEMIN     KAVANI M'TSABOURI          
IMPASSE    KOUDIVA                    
CHEMIN     DU LAC                     
ROUTE      PARE LAVA                  
CHEMIN     VARI LAVA                  
CHEMIN     MOULIGE LIGE               
RUE        MOULIGE LIGE               
CHEMIN     LITCHI                     
CHEMIN     MAGAZA                     
RUE        MALAZA                     
VEN        MALBAR                     
RUE        MALBAR                     
CHEMIN     ADAN MALIDI                
CHEMIN     MALIDI                     
CHEMIN     HALIMA MAMBO               
RUE        DU MANGA                   
CHEMIN     DU MANGUIER                
IMPASSE    MAOUA                      
IMPASSE    ZAMA MARIAME               
ROUTE      BOUNGOU MARIDJANI          
RUE        MAROUVATOU                 
PLACE      DU 29 MARS 2009            
CHEMIN     MAROU                      
CHEMIN     MAROU VATOU                
CHEMIN     DALILA MASSAVOU            
CHEMIN     ECOLE MATERNELLE           
IMPASSE    MATSABOURI                 
RUE        MATSABOURI                 
CHEMIN     MAZAVA                     
RUE        MAZAVA                     
VEN        ZAMA MAZENA                
CHEMIN     RENI MBAKA                 
CHEMIN     MBIROU                     
RUE        MBIROU                     
RUE        MAMAN MCHANGAMA            
CHEMIN     ALI MDERE                  
VEN        MADI MDERE                 
PLACE      DU FRONT DE MER            
RUE        MILA                       
CHEMIN     MANGA MIRANTIGNI           
RUE        DE LA MJC                  
RUE        HASSANI MOGNE              
VEN        MOIMOILE                   
RUE        DE LA MOSQUEE KAVANI       
ROUTE      MOUSSA BE                  
RUE        MOUSSA VITTA               
ROUTE      MOUSSIMOU RASSI            
CHEMIN     MRACHI                     
VEN        MTRONDRO                   
CHEMIN     MZE                        
RUE        BOUNGOU NAFINDRA           
RUE        NALINDRA                   
CHEMIN     ZAMA NDZOU                 
CHEMIN     CIMETIERE NORD             
RUE        DU LOTISSEMENT NORD        
CHEMIN     ASSANI NOUHOU              
RUE        ADANI OULAYA               
CHEMIN     BACO OUSSEINI              
CHEMIN     FRUIT A PAIN               
CHEMIN     DE LA PLAGE - SOHOA        
RUE        DU PORT DE PECHE           
RUE        RACINI                     
CHEMIN     RAMA TSOUNTSOU             
VEN        RANGUY                     
ROUTE      DE RASSI                   
CHEMIN     RASSI                      
CHEMIN     DE LA RAVINE               
CHEMIN     REHEMA                     
ALLEE      REMANOROU                  
CHEMIN     REMANOROU                  
