20151101
02         AISNE                         
LIEU-DIT   LE PRE CAILLOUX            
LIEU-DIT   LE PRE FARART              
LIEU-DIT   LE PREBIN                  
LIEU-DIT   LA RUE DE JEAN CLAUDE      
LIEU-DIT   LES SABLONS                
LIEU-DIT   LES SEPT JALOIS            
LIEU-DIT   TERRE A LOUIS D OR         
LIEU-DIT   VALLEE A L ORGE            
LIEU-DIT   VALLEE BALTAZAR            
LIEU-DIT   LA VALLEE DE LA CURE       
LIEU-DIT   VALLEE DE LONGCHAMPS       
LIEU-DIT   VALLEE DU BOIS             
LIEU-DIT   VALLEE MALEAU              
LIEU-DIT   VALLEE SAINT JEAN          
LIEU-DIT   LE MOULIN TESTART          
LIEU-DIT   LES TEMPLIERS              
VC         DE BERNOVILLE A SEBONCOURT 
RUE        DE BOHAIN                  
ROUTE      DE BOHAIN                  
CD         31                         
RUE        DE CONDE                   
RUE        DU TOUR DE VILLE           
RUE        EMILE BORGNE               
RUE        DE GROUGIS                 
RUE        DE GUISE                   
RUE        P DE MARTIMPREY            
RUE        D ETAVES                   
RUE        DE LA CITE                 
RUE        DE LA COUTURELLE           
RUE        DES JONGLEURS              
IMPASSE    DU RIEZ                    
RUE        DE VERLY                   
RUE        DE L ABREUVOIR             
RUE        DE LA GARE                 
RUE        DU RIEZ                    
CD         960 DE VERVINS A BOHAIN    
           commune :     AIZELLES                       departement : AISNE                         
LIEU-DIT   AU DESSOUS DU CHATEAU GAIL 
LIEU-DIT   AU DESSUS DU MARAIS LA POI 
LIEU-DIT   LES AVIGNARDS              
LIEU-DIT   LA BARRIERE                
LIEU-DIT   LE BEAU REGARD             
LIEU-DIT   LES BERCEAUX               
LIEU-DIT   LA BIGORNE                 
LIEU-DIT   LE BOIS DES DEUX MONTS     
LIEU-DIT   BOIS DES GUILLOTS          
LIEU-DIT   LE BOIS DES PAUVRES        
LIEU-DIT   BOIS LA PLACE              
LIEU-DIT   BOIS LESAINS               
LIEU-DIT   BOIS LORIOT                
LIEU-DIT   LES BRANSONS               
LIEU-DIT   LES BURELLES               
LIEU-DIT   BUTTE BOBAR                
LIEU-DIT   LA CARRIERE DES CRAIES     
LIEU-DIT   LE CHAMP POSSAT            
LIEU-DIT   LES CHANTRES               
LIEU-DIT   LES CHAPELLES              
LIEU-DIT   CHATEAU GAILLARD           
LIEU-DIT   LES CHENES                 
LIEU-DIT   LES COUTURELLES            
LIEU-DIT   LES CRAIES                 
LIEU-DIT   AU DESSUS DU MARAIS LA POI 
LIEU-DIT   DROITE DU MOULIN DE REINET 
LIEU-DIT   L ENTREE DES CHAPELLES     
LIEU-DIT   LES ETOTS                  
LIEU-DIT   LE FOND DE FAYAUX          
LIEU-DIT   LE FOND DU MOULIN A VENT   
LIEU-DIT   LA FONTAINE DU MOULIN LEGR 
LIEU-DIT   LES FORTES TERRES          
LIEU-DIT   LES GADRELLES              
LIEU-DIT   LA GARENNE DES CHENES      
LIEU-DIT   LES GLIZIERES              
LIEU-DIT   LES GOUTTIERES             
LIEU-DIT   LA GRANDE PIECE            
LIEU-DIT   LES GRANDES GRANDES TAILLE 
LIEU-DIT   LES GRANDES VIGNES         
LIEU-DIT   LES HAUTS CHEMINS          
LIEU-DIT   LA HUTTE                   
LIEU-DIT   LE MARAIS LA POINTE        
LIEU-DIT   LES MARTAINES              
LIEU-DIT   LE MONT DE LA CROIX        
LIEU-DIT   LA MONTAGNE                
LIEU-DIT   LE MOULIN A VENT           
LIEU-DIT   LE MOULIN LEGROS           
LIEU-DIT   MOULIN REGINA              
LIEU-DIT   LES PERCHERIES             
LIEU-DIT   LES PERTANTINES            
