20151101
79         DEUX SEVRES                   
LIEU-DIT   LE GRAND GAIN              
LIEU-DIT   LE GRAND MAGNE             
LIEU-DIT   LE GRAND PRE               
LIEU-DIT   LE GRAND PRE EST           
LIEU-DIT   LE GRAND PRE SUD           
LIEU-DIT   GRAND RY                   
LIEU-DIT   VAILLE                     
LIEU-DIT   LES GRANDES VERSENNES      
LIEU-DIT   LA GROIE                   
LIEU-DIT   LA GROIE GODET             
LIEU-DIT   LA GROIE GORET             
LIEU-DIT   LA GROIE PARTHENAY         
LIEU-DIT   LA GROIE PERINETTE         
LIEU-DIT   LES GROIES                 
LIEU-DIT   LES GROIES OUEST           
LIEU-DIT   LES INGUIERES              
LIEU-DIT   LE JONCHEREAU              
LIEU-DIT   LE JONCHEREAU SUD          
LIEU-DIT   LE JOUG                    
LIEU-DIT   JUSSAY                     
LIEU-DIT   LAUTREMONT                 
LIEU-DIT   LE LIZON                   
LIEU-DIT   LES LIZONS EST             
LIEU-DIT   LES MAILLOCHES             
LIEU-DIT   LES MARCHOLIERES           
LIEU-DIT   LA MURAILLE                
LIEU-DIT   L ORMEAU RENAULT           
LIEU-DIT   LE PETIT MAGNE             
LIEU-DIT   LE PETIT VAILLE            
LIEU-DIT   LA PETITE RIVIERE          
LIEU-DIT   LA PETITE TOUCHE           
LIEU-DIT   LES PETITS GENETS          
LIEU-DIT   LA PIECE                   
LIEU-DIT   LA PLAINE A FARAUD         
LIEU-DIT   LA PLAINE DE BOIS ROND     
LIEU-DIT   LA PLAINE DE TREBOT        
LIEU-DIT   LA PLAINE DU BREUIL        
LIEU-DIT   LA PLAINE DU GRIFFIER      
LIEU-DIT   PLANE DES MASSONEAUX       
LIEU-DIT   LA PLANTE                  
LIEU-DIT   LES PLANTES                
LIEU-DIT   LE POIRION                 
LIEU-DIT   LA POMMERAIE               
LIEU-DIT   LE PRE DES CHAUMES         
LIEU-DIT   LES PRES AU MAITRE         
LIEU-DIT   ECREBIS                    
LIEU-DIT   LES PRES DE CHARCOGNE      
LIEU-DIT   LES PRES DE JUSSAY         
LIEU-DIT   PRES DE LA RIVIERE D AIGON 
LIEU-DIT   LES PRES DU LAC            
LIEU-DIT   LES PRES DU LAVOIR         
LIEU-DIT   LES QUARANTE BOISSELEES    
LIEU-DIT   LES RACONNELLES            
LIEU-DIT   LE RENFERMIS DES FOURMIS   
LIEU-DIT   LES RENIQUES               
LIEU-DIT   LES RHUES                  
LIEU-DIT   LA RIVIERE                 
LIEU-DIT   LA RIVIERE DE BUREAU       
LIEU-DIT   LA ROCHE DU PRE NEGRE      
LIEU-DIT   LES ROMPIS                 
LIEU-DIT   LES ROUSSELIERE            
LIEU-DIT   SEMMELLIER                 
LIEU-DIT   LES SIX BOISSELEES         
LIEU-DIT   LA TERRIERE                
LIEU-DIT   LA TOUCHE                  
LIEU-DIT   LE TOUCHEAU                
LIEU-DIT   TREBOT                     
LIEU-DIT   LE TUREAU                  
LIEU-DIT   VALADIER                   
LIEU-DIT   LES VARENNES               
LIEU-DIT   LES VIGNES                 
LIEU-DIT   VILLENEUVE                 
LIEU-DIT   VIRSAY                     
ROUTE      DE L AUBARREE              
ROUTE      DE LA BALDERIE             
IMPASSE    DU BREUIL                  
RUE        DU BAS BOURG               
ROUTE      DU BREUIL                  
ROUTE      DE CHANTEMERLE             
IMPASSE    DES EPINETTES              
RUE        DES EPINETTES              
PLACE      DES EPINETTES              
IMPASSE    DE LA FONTAINE             
RUE        DE LA FONTAINE             
VC         DE LA GARENNE              
IMPASSE    DE LA GROIE PERINETTE      
ROUTE      DU GROS CHENE              
CHEMIN     DES JONCHEREAUX            
RUE        DU LAVOIR                  
ROUTE      DES LYSONS                 
IMPASSE    DES LYSONS                 
ROUTE      DE MAGNE                   
PLACE      DE LA MAIRIE               
ROUTE      DU MARANDEAU               
ROUTE      DU PETIT MAGNE             
CHEMIN     DES RHUES                  
ROUTE      DE LA RIVIERE              
IMPASSE    DE LA TOUCHE               
ROUTE      DE LA TOUCHE               
ROUTE      DE TREBOT                  
ROUTE      DE LA TRUITE ANGUILLE      
           commune :     AIRVAULT                       departement : DEUX SEVRES                   
LIEU-DIT   SUR D AILLON               
LIEU-DIT   LA BARONNE                 
LIEU-DIT   BARROUX                    
LIEU-DIT   LE BAS PAIN GAGNE          
LIEU-DIT   BAS PAIN GAGNE DE SOULIEVR 
LIEU-DIT   LA BASSONNIERE             
LIEU-DIT   BEL AIR                    
LIEU-DIT   BEL AIR DE SOULIEVRES      
LIEU-DIT   LA BODINIERE               
LIEU-DIT   LE BOIS                    
LIEU-DIT   LE BOIS DE BORCQ           
LIEU-DIT   LE BOIS DE COURTE VALLEE   
LIEU-DIT   LE BOIS DE GUILLORE        
LIEU-DIT   LE BOIS DE LA GRILLE       
LIEU-DIT   LE BOIS DE VALENOIN        
LIEU-DIT   LE BOIS DES BRANDES        
LIEU-DIT   LE BOIS DES CHEINTRES      
LIEU-DIT   LE BOIS DES CLAUX          
LIEU-DIT   LE BOIS DES TROIS NOYERS   
LIEU-DIT   LE BOIS GRIPAULT           
LIEU-DIT   LES BOIS JOUNEAUX          
LIEU-DIT   LE BOIS MALLOT             
LIEU-DIT   LE BOIS VAILLANT           
LIEU-DIT   BORDERIE DE SALIN          
LIEU-DIT   LES BORDRIES               
LIEU-DIT   LE BOURG DE BORCQ SUR AIRV 
LIEU-DIT   BRELUCAN                   
LIEU-DIT   BRETEIGNE                  
LIEU-DIT   LA BREVIERE                
LIEU-DIT   LE BUISSON                 
LIEU-DIT   LE BUISSON MARTIN          
LIEU-DIT   LES CARRIERES              
LIEU-DIT   LA CENDRONNE               
LIEU-DIT   LES CHAILLES               
LIEU-DIT   CHAMP BALLON               
LIEU-DIT   LE CHAMP BLANC             
LIEU-DIT   LE CHAMP DE L AUMONERIE    
LIEU-DIT   CHAMP DE LA CHEVRE         
