20151101
LIEU-DIT   LE DESSOUS DU CHEMIN D AUB 
LIEU-DIT   AU DESSUS DE LA VALLEE     
LIEU-DIT   AU DESSUS DES PRES         
LIEU-DIT   LE DESSUS DU CHEMIN D AUBI 
LIEU-DIT   LES DIALOTS                
LIEU-DIT   LE DIEU D ACQ              
LIEU-DIT   LES DIX HUIT               
LIEU-DIT   LES DIX SEPT               
LIEU-DIT   LES FONDS D HAUTE AVESNES  
LIEU-DIT   LES FONDS DE HAUTE AVESNES 
LIEU-DIT   LA FRANQUE PIECE           
LIEU-DIT   LA MALADRERIE              
LIEU-DIT   LE MARESQUET               
LIEU-DIT   LE MARQUOY                 
LIEU-DIT   LE PARADIS                 
LIEU-DIT   LE PENDU                   
LIEU-DIT   LA POINTE DU CHEMIN SALBER 
LIEU-DIT   LES ROULIERS               
LIEU-DIT   LE TERRAGE                 
LIEU-DIT   LES TREIZE                 
LIEU-DIT   LA VALLEE                  
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LE VOL POULE               
CHEMIN     D AUBIGNY                  
RUE        BRUNEHAUT  RD 941          
RUE        SADI CARNOT                
CHEMIN     DU CHOSSOY                 
ROUTE      D ECOIVRES                 
RUE        DE L EGALITE               
RUE        EMILE ZOLA                 
RUE        DE LA FRATERNITE           
RUE        DU GENERAL DE GAULLE       
ROUTE      DE HAUTE AVESNES           
RUE        JULES FERRY                
RUE        DE LA LIBERTE              
RUE        PASTEUR                    
RUE        DES PRES                   
RUE        DES QUATRE SAISONS         
RUE        DE LA REPUBLIQUE           
CHEMIN     SALBERT                    
RUE        DES SAULES                 
RUE        VICTOR HUGO                
           commune :     ACQUIN WESTBECOURT             departement : PAS DE CALAIS                 
LIEU-DIT   ACQUIN                     
LIEU-DIT   AUX ARGILIERES             
LIEU-DIT   LA BANQUETTE A CAILLOUX    
LIEU-DIT   LA BASSE COUTURE           
LIEU-DIT   LE BOIS COLPET             
LIEU-DIT   LE BOIS DE LA COMMUNE      
LIEU-DIT   LE BOIS DE LA HTE DREVE    
LIEU-DIT   LE BOIS DELASSE            
LIEU-DIT   LE BOIS DES HOSPICES       
LIEU-DIT   LE BOSQUET                 
LIEU-DIT   AU CAVIN JEAN BLANC        
LIEU-DIT   LE CHAUFOUR                
LIEU-DIT   LES CHOQUETTES             
LIEU-DIT   LE COMBLE                  
LIEU-DIT   CONTRE LE POOVRE           
LIEU-DIT   LA COQUILLE                
LIEU-DIT   LES COUDAILLES             
LIEU-DIT   AU COUDRE                  
LIEU-DIT   LE COURTIL A RONCES        
LIEU-DIT   LES CREQUES MESSES         
LIEU-DIT   CROCQS DE MERZOIL          
LIEU-DIT   LES CROCQS DE MONTAUBAN    
LIEU-DIT   LES CRUPPEDALES            
