20151101
19         CORREZE                       
LIEU-DIT   LE BOIS GRAND              
LIEU-DIT   LA BORIE                   
LIEU-DIT   LA BORIE BLANCHE           
LIEU-DIT   LE BOURG                   
LIEU-DIT   LE BOURNAZEL               
LIEU-DIT   LE BREUIL                  
LIEU-DIT   CHANTEGRIL                 
LIEU-DIT   LES COLONIES               
LIEU-DIT   LA COSTE                   
LIEU-DIT   LA CROISADE                
LIEU-DIT   LA CROIX BELLE             
LIEU-DIT   LA CROIX DE LA PIERRE      
LIEU-DIT   L EVESCAT                  
LIEU-DIT   LES FAGES                  
LIEU-DIT   FLAUGEAT                   
LIEU-DIT   LAUZELOU                   
LIEU-DIT   MIALET                     
LIEU-DIT   LE MOULIN DU PRIEUR        
LIEU-DIT   NAVES                      
LIEU-DIT   OMBINAT                    
LIEU-DIT   PIERREFICHE                
LIEU-DIT   PLAINEFAGE                 
LIEU-DIT   PUY DE BAYLE               
LIEU-DIT   QUICOLAGNE BAS             
LIEU-DIT   QUICOLAGNE HAUT            
LIEU-DIT   LA RIVIERE                 
LIEU-DIT   LES SAUTS                  
LIEU-DIT   LES TERRES                 
LIEU-DIT   LA TRONCHE                 
LIEU-DIT   LA VERDE                   
LIEU-DIT   VERSAILLE                  
LIEU-DIT   LE VIALLARD                
LIEU-DIT   LA VOUTE                   
           commune :     ALBUSSAC                       departement : CORREZE                       
LIEU-DIT   LES AIGUILLES              
LIEU-DIT   AUX AIGUILLES DE LAVERGNE  
LIEU-DIT   LES AIGUILLES SUD          
LIEU-DIT   AUBIAT                     
LIEU-DIT   AUBIAT HAUT                
LIEU-DIT   AUDUBAL                    
LIEU-DIT   AUDUBAL EST                
LIEU-DIT   LE BAS COUDERC             
LIEU-DIT   LA BASTIDE                 
LIEU-DIT   LA BEAUVERIE               
LIEU-DIT   BEDAINE                    
LIEU-DIT   LES BEDAINES               
LIEU-DIT   BERNICOU                   
LIEU-DIT   LA BESSADE                 
LIEU-DIT   LA BESSAS                  
LIEU-DIT   A BESSOU                   
LIEU-DIT   LES BISSIERES              
LIEU-DIT   LES BOIS DE LAVERGNE       
LIEU-DIT   BOIS DES PORCS             
LIEU-DIT   LE BOIS DU CURE            
LIEU-DIT   LES BOIS GRANDS            
LIEU-DIT   LE BOIS LACOUR             
LIEU-DIT   LA BONNE                   
LIEU-DIT   A BONNEFOND                
LIEU-DIT   LA BORIE                   
LIEU-DIT   AU BOUR                    
LIEU-DIT   LE BOURG                   
LIEU-DIT   LES BOUSQUETS              
LIEU-DIT   LES BOUTEILLES             
LIEU-DIT   LES BOUTEILLES EST         
LIEU-DIT   LES BOUTILS                
LIEU-DIT   LA BRANDE                  
LIEU-DIT   LES BREUILS                
LIEU-DIT   LE BROS BAS                
LIEU-DIT   LE BROS HAUT NORD          
LIEU-DIT   LES BROS HAUTS             
LIEU-DIT   LES BRUGEAUX               
LIEU-DIT   A LA CABANNE               
LIEU-DIT   LES CABOUSSOUS             
LIEU-DIT   AU CAIRE                   
LIEU-DIT   CHABRIER                   
LIEU-DIT   CHABRISTINE                
LIEU-DIT   CHAMBOURGEIX               
LIEU-DIT   LES CHAMELLES              
LIEU-DIT   AUX CHAMPS                 
LIEU-DIT   AUX CHAMPS DE PREZAT       
LIEU-DIT   LES CHAMPS DU MAZERNIER    
LIEU-DIT   CHANLIPPE                  
LIEU-DIT   CHANTAREL                  
LIEU-DIT   LES CHARDINIERS            
LIEU-DIT   LA CHASSAGNADE             
LIEU-DIT   AU CHASSANG                
LIEU-DIT   CHASTRUSSE                 
LIEU-DIT   LES CHAUFFOURS             
LIEU-DIT   AU CHEMINOL                
LIEU-DIT   CHICOT                     
LIEU-DIT   LES COMBES                 
LIEU-DIT   LA COMMANDERIE             
LIEU-DIT   LES COMMUNAUX CHABRIER     
