20151101
81         TARN                          
RUE        DE BELSERT                 
RUE        DE BERTHOULE               
RUE        DE LA BESSIERE             
IMPASSE    DES ECOLES                 
PLACE      DE L EGLISE                
RUE        FLANDRES DUNKERQUE  40     
PLACE      DU FOIRAIL                 
GR         GRAND RUE                  
RUE        DE LA FONTAINE             
PLACE      DE LA GARE                 
PLACE      DE LA JUSTICE              
RUE        DE LADRECH                 
RUE        DE LA GENDARMERIE          
RUE        DE LA HALLE                
RUE        ISAAC NEWTON               
RUE        DES MARCHES                
RUE        DE LA CAPELANIE            
AVENUE     DE MILLAU                  
D          LE DOLMEN                  
CHEMIN     DE LA FRANQUEZE            
RUE        DU NOYER                   
AVENUE     DE PEYREBLANQUE            
RUE        DU DOC POISSON             
AVENUE     DE ST ANDRE                
PLACE      DU DOC SANS                
PLACE      DU SARRADIS                
RUE        DU SENATEUR BOULARAN       
SENTIER    DE MARIETTE                
ROUTE      DE REALMONT                
RUE        DU STADE                   
PLACE      DES TILLEULS               
RUE        DE FRANCONIE               
ALLEE      DES MESANGES               
ALLEE      DES ROSSIGNOLS             
CHEMIN     DE SERRES                  
TRA        DES MARRONNIERS            
           commune :     ALBI                           departement : TARN                          
HAM        DE GALINOU                 
CITE       DU CASTELVIEL              
HAM        CROIX DE CLARY             
HLM        JARLARD                    
           RUE EMMANUEL MORA          
HLM        LAPANOUSE                  
HLM        MAZICOU                    
           LE PARC DE PELISSIER       
           PLAINE DES CHARMES         
CITE       NOUVELLE DES ISSARDS       
CITE       ST ANTOINE                 
           STADIUM MUNICIPAL          
VGE        DU STADIUM                 
           STADE MAURICE RIGAUD       
LIEU-DIT   L ARQUIPEYRE               
LIEU-DIT   AZERAC                     
LIEU-DIT   BALARD                     
LIEU-DIT   BARBESOUL                  
LIEU-DIT   BARTHARIES                 
LIEU-DIT   LA BARTHE                  
LIEU-DIT   BEAUSOLEIL                 
LIEU-DIT   BELLERIVE                  
LIEU-DIT   BELLEVUE                   
LIEU-DIT   BISCARRADE                 
LIEU-DIT   LA BORIE BLANCHE           
LIEU-DIT   LAS BORIES                 
LIEU-DIT   BOURDES                    
LIEU-DIT   LE BOUSQUET                
LIEU-DIT   LE BREUIL                  
LIEU-DIT   LES BROUCOUNIES            
LIEU-DIT   CAMP ST ANTOINE            
LIEU-DIT   CANAVIERES                 
LIEU-DIT   CANTEPAU                   
LIEU-DIT   CANTEPERLIC                
LIEU-DIT   CAUSSELS                   
LIEU-DIT   LA CAVALERY                
LIEU-DIT   CHAT DE RAYSSAC            
LIEU-DIT   CITE DE RANTEIL            
LIEU-DIT   LA CLARIER                 
LIEU-DIT   LES COMBETTES              
LIEU-DIT   LA CROUZILLE               
LIEU-DIT   CURVEILLERE                
LIEU-DIT   ENJALBERT                  
LIEU-DIT   ESTEVILLE                  
LIEU-DIT   LA FAIENCERIE              
LIEU-DIT   FALQUET                    
LIEU-DIT   LAS FARGUES                
LIEU-DIT   LA FONDUDE                 
LIEU-DIT   FONLABOUR                  
LIEU-DIT   FONTAINE DOREE             
LIEU-DIT   LES FONTANELLES            
LIEU-DIT   FONVIALANE                 
LIEU-DIT   LES FOURCHES               
LIEU-DIT   GAILLAGUES                 
LIEU-DIT   GALINOU                    
LIEU-DIT   LE GARRIC DE PELISSIER     
LIEU-DIT   LE GO                      
LIEU-DIT   LA GUITARDIE               
LIEU-DIT   L HERMET HAUT              
LIEU-DIT   LES ISSARDS                
LIEU-DIT   LA JANADE                  
LIEU-DIT   JARLARD                    
LIEU-DIT   LAPANOUSE                  
LIEU-DIT   LASBORDES                  
LIEU-DIT   LAUBARD                    
LIEU-DIT   LAVAZIERE                  
LIEU-DIT   LESTEL                     
LIEU-DIT   LOMBARDOU                  
LIEU-DIT   LA MADELEINE               
LIEU-DIT   MARRANEL                   
LIEU-DIT   MARRE NORD                 
LIEU-DIT   MARRE SUD                  
LIEU-DIT   MASCRABIERES               
LIEU-DIT   MAS DE BLANC               
