20151101
LIEU-DIT   LES PIECES DE L AILLERIE   
LIEU-DIT   PINEAU                     
LIEU-DIT   LE PLAT D ETAIN            
LIEU-DIT   LES POINTES                
LIEU-DIT   LA PORCHERIE               
LIEU-DIT   LE PORT D ARTINS           
LIEU-DIT   PRAIRIE D ARTINS           
LIEU-DIT   PRAIRIE DE PINEAU          
LIEU-DIT   PRE DU VIEUX BOURG         
LIEU-DIT   LE PRE NEUF                
LIEU-DIT   LES PRES                   
LIEU-DIT   LES PRES BOUILLANTS        
LIEU-DIT   PRES DE LA VALLEE DE VAUTR 
LIEU-DIT   PRES DE PINEAU             
LIEU-DIT   LES PRES DU GUE            
LIEU-DIT   LES PRES ROMPUS            
LIEU-DIT   LES QUILLERDIERES          
LIEU-DIT   LES RETRAITS               
LIEU-DIT   LA ROCHE TURPIN            
LIEU-DIT   LA SAILLARDERIE            
LIEU-DIT   LA SALLE                   
LIEU-DIT   SOUS LE CLAIR ONDIN        
LIEU-DIT   SOUS LES GENETTES          
LIEU-DIT   LES TAILLES DE PINEAU      
LIEU-DIT   LES TUFFIERES              
LIEU-DIT   LA VALLEE                  
LIEU-DIT   LA VALLEE DE VAUTRIPES     
LIEU-DIT   VAUTRIPES                  
LIEU-DIT   LES VERGERIES              
LIEU-DIT   LES VIEILLES GRANGES       
LIEU-DIT   LE VIEUX BOURG             
LIEU-DIT   LA VIGNE ROUGE             
LIEU-DIT   LA DANSERIE                
LIEU-DIT   L'ETOILE                   
LIEU-DIT   LA MARRE                   
LIEU-DIT   LA PELLETERIE              
LIEU-DIT   BUROCHE                    
RUE        DE LA COMMANDERIE          
RUE        DE LA FONTAINE             
RUE        MENARD                     
RUE        DU PLAT D ETAIN            
RUE        DES TEINTURIERS            
RUE        DE LA VALLEE               
           commune :     ARVILLE                        departement : LOIR ET CHER                  
LIEU-DIT   LE BAS COUREIL             
LIEU-DIT   LA BELLIMERIE              
LIEU-DIT   LA BLICIERE                
LIEU-DIT   LA BONNEVILLERIE           
LIEU-DIT   LES BOULEAUX               
LIEU-DIT   BOULEAUX DE LA GDE MARCESS 
LIEU-DIT   LES BOURDIGALES            
LIEU-DIT   LE BOURG                   
LIEU-DIT   LE BUISSON                 
LIEU-DIT   LA CARLIERE                
LIEU-DIT   LE CHENE                   
LIEU-DIT   LE CHENE GERVASIERE        
LIEU-DIT   LA COLASIERE               
LIEU-DIT   LA COMMANDERIE             
LIEU-DIT   LA DORNIERE                
LIEU-DIT   L ETANG DE LA DORNIERE     
LIEU-DIT   LA FAUCHERIE               
LIEU-DIT   LES FILAUDRIES             
LIEU-DIT   LA FOSSE NOIRE             
LIEU-DIT   LA GOUEVRIE                
LIEU-DIT   LE GRAND CHAUSSAY          
LIEU-DIT   LE GRAND PRE               
LIEU-DIT   LA GRANDE HONDONNIERE      
LIEU-DIT   LA GRANDE MARCESSIERE      
LIEU-DIT   LA GRANDE SERANDIERE       
LIEU-DIT   LES GRANDES MAISONS        
LIEU-DIT   LES GUILLOISIERES          
LIEU-DIT   LE HAUT COUREIL            
LIEU-DIT   LA JAMMETIERE              
LIEU-DIT   LA MAISON NEUVE            
LIEU-DIT   LES MONCEAUX               
LIEU-DIT   LES MORELLERIES            
LIEU-DIT   LA MORLIERE                
LIEU-DIT   LE PETIT CHAUSSAY          
LIEU-DIT   LA PETITE HONDONNIERE      
LIEU-DIT   LA PETITE MARCESSIERE      
LIEU-DIT   LES PETITES BORDES         
LIEU-DIT   LES PINSONNIERES           
LIEU-DIT   PRE DE L ARCHE             
LIEU-DIT   LES PRES DE FONTAINE       
LIEU-DIT   LA PROVENDERIE             
LIEU-DIT   LES SABLONS                
LIEU-DIT   LA SERANDIERE              
LIEU-DIT   TERRES DE BONNEVILLERIE    
LIEU-DIT   TERRES DE LA COLASIERE     
LIEU-DIT   TERRES DE LA GDE HONDONNIE 
LIEU-DIT   TERRES DE LA GDE MARCESSIE 
LIEU-DIT   TERRES DE LA GRANDE SERAND 
LIEU-DIT   TERRES DE LA PROVENDERIE   
LIEU-DIT   TERRES DU HAUT COUREIL     
LIEU-DIT   LA TESVERIE                
LIEU-DIT   LES TRONGNES DE LA DORNIER 
LIEU-DIT   LE TURET                   
LIEU-DIT   LA VIGNE                   
LIEU-DIT   LE COUREIL                 
LIEU-DIT   LE CHAUSSAY                
LIEU-DIT   LA HONDONNIERE             
ALLEE      DE LA COMMANDERIE          
RUE        DE L'EGLISE                
ROUTE      DE LA FONTENELLE           
ROUTE      ST JACQUES DE COMPOSTELLE  
ROUTE      DES TEMPLIERS              
CHEMIN     DE LA VIGNE                
ROUTE      DU VIEUX MOULIN            
           commune :     AUTAINVILLE                    departement : LOIR ET CHER                  
LIEU-DIT   L ARRACHIS                 
LIEU-DIT   L AUMONE                   
LIEU-DIT   LA BASSE POINTE            
LIEU-DIT   BELLESSORT                 
LIEU-DIT   LES BILLARDERIES           
LIEU-DIT   BOIS DE CITEAUX            
LIEU-DIT   LES BOIS DE LA CHAPELLE    
LIEU-DIT   LE BOIS DE LA CHAPELLE     
LIEU-DIT   LE BOURG                   
LIEU-DIT   LES BRETONNIERES           
