20151101
2B         HAUTE CORSE                   
LIEU-DIT   PIETRE GROSSE              
LIEU-DIT   PIOVA                      
LIEU-DIT   PISCAJOLA                  
LIEU-DIT   POLLONELLI                 
LIEU-DIT   PONTICCIOLO                
LIEU-DIT   PRATO                      
LIEU-DIT   QUERCIA                    
LIEU-DIT   RIPE                       
LIEU-DIT   SALETTO                    
LIEU-DIT   SAN GIOVANNI               
LIEU-DIT   SANTO PIETRO               
LIEU-DIT   SANTUARIO                  
LIEU-DIT   SARRE                      
LIEU-DIT   SCANCIOLE                  
LIEU-DIT   SFUNDATA                   
LIEU-DIT   SOLANE                     
LIEU-DIT   SOLANE ALLE SARRE          
LIEU-DIT   SOLIE                      
LIEU-DIT   SOMATAJA                   
LIEU-DIT   SORBO                      
LIEU-DIT   SPELONCHELLE               
LIEU-DIT   SPICIONE                   
LIEU-DIT   TEPPA                      
LIEU-DIT   TIPPONI                    
LIEU-DIT   TRAMEZO                    
LIEU-DIT   VACCIOLELLI                
LIEU-DIT   VALDO                      
LIEU-DIT   VALLE LONGA                
LIEU-DIT   VALLE LORE                 
LIEU-DIT   VALLO GROSSO               
LIEU-DIT   VANGONE                    
LIEU-DIT   VETRICE                    
LIEU-DIT   VIGNACCIA                  
LIEU-DIT   VIGNALI                    
LIEU-DIT   ZENNA                      
LIEU-DIT   PAGLIO VECCHIO             
LIEU-DIT   MORIANI                    
           commune :     ALBERTACCE                     departement : HAUTE CORSE                   
HLM        HLM                        
RESIDENCE  RES BELLA SULANA           
LIEU-DIT   ABE                        
LIEU-DIT   ACELLE                     
LIEU-DIT   AFFACATOJO                 
LIEU-DIT   AGHIALE                    
LIEU-DIT   AJA A LA RASA              
LIEU-DIT   AJA BONA                   
LIEU-DIT   AJA PETRIGNA               
LIEU-DIT   AJA POGGIU                 
LIEU-DIT   AJA ROTTA                  
LIEU-DIT   AJE ALLE PIAZZE            
LIEU-DIT   AJUOLA                     
LIEU-DIT   ALANDICA                   
LIEU-DIT   ALBERTACCE                 
LIEU-DIT   ALBERU                     
LIEU-DIT   ALZA LONGA                 
LIEU-DIT   ALZANESE                   
LIEU-DIT   ALZEDU                     
LIEU-DIT   ALZETU                     
LIEU-DIT   ALZU TAGLIATU              
LIEU-DIT   AMMARELLO                  
LIEU-DIT   ANCHELLA                   
LIEU-DIT   ANFARATA                   
LIEU-DIT   APPIATA                    
LIEU-DIT   ARENUCCIA                  
LIEU-DIT   ARIGHIONE                  
LIEU-DIT   ARSELLA                    
LIEU-DIT   ASTRATELLA                 
LIEU-DIT   BACCAJOLA                  
LIEU-DIT   BAGNAROLA                  
LIEU-DIT   BALCHERA                   
LIEU-DIT   BALINEU                    
LIEU-DIT   BALLINCU                   
LIEU-DIT   BALLONE                    
LIEU-DIT   BALLU LARGU                
LIEU-DIT   BARCATOJO                  
LIEU-DIT   BARFACCIA                  
LIEU-DIT   BARFACCIU                  
LIEU-DIT   BARRATOJA                  
LIEU-DIT   BARTULACCIA                
LIEU-DIT   BARUACCIU                  
LIEU-DIT   BELLA LONGA                
LIEU-DIT   BERGHA                     
LIEU-DIT   BERNONGHIOLI               
LIEU-DIT   BIGNACCE                   
LIEU-DIT   BIGNACCIA                  
LIEU-DIT   BIGNENTI                   
LIEU-DIT   BISCIALE                   
LIEU-DIT   BITULELLU                  
LIEU-DIT   BITULLU                    
LIEU-DIT   BOGNU                      
LIEU-DIT   BOLLARI                    
LIEU-DIT   BUCCHICCHIAJU              
LIEU-DIT   BUCERTAJA                  
LIEU-DIT   BUCERTAJU                  
LIEU-DIT   BUFFARDO                   
LIEU-DIT   BULACCHIAJE                
LIEU-DIT   BUNDARALE                  
LIEU-DIT   BURNACCE                   
LIEU-DIT   CABANELLE                  
LIEU-DIT   CACCIANINCU                
LIEU-DIT   CALAJA                     
LIEU-DIT   CALANCA                    
LIEU-DIT   CALANCHE DI LOSSO          
LIEU-DIT   CALANCHE DI LOSSO A SOGLIO 
LIEU-DIT   CALASIMA                   
LIEU-DIT   CALAVARCIE                 
LIEU-DIT   CALONICA                   
LIEU-DIT   CALONICAJA                 
LIEU-DIT   CAMPIGLIOLU                
LIEU-DIT   CAMPO ZITAMBOLI            
LIEU-DIT   CAMPU A ZITAMBOLI          
LIEU-DIT   CAMPU GUARDATU             
LIEU-DIT   CAMPU ZITAMBULU            
LIEU-DIT   CANALE DI TULA             
LIEU-DIT   CANALI                     
LIEU-DIT   CANCELLAJA                 
LIEU-DIT   CANCIANINCO                
LIEU-DIT   CANDELA                    
LIEU-DIT   CANNELLE                   
LIEU-DIT   CAONE                      
LIEU-DIT   CAPIFICO                   
LIEU-DIT   CAPINIELLA                 
LIEU-DIT   CAPIZZOLU                  
LIEU-DIT   CAPO CASTELLU              
LIEU-DIT   CAPO SCIOLU                
LIEU-DIT   CAPOLANE                   
LIEU-DIT   CAPRARECCIU                
LIEU-DIT   CAPU CASTELLU              
LIEU-DIT   CAPU DI VENZU              
LIEU-DIT   CAPU FALU                  
LIEU-DIT   CARACUTO                   
LIEU-DIT   CARAGNOLU                  
LIEU-DIT   CARNONATA                  
LIEU-DIT   CASA RUNDELLA              
LIEU-DIT   CASANILI                   
LIEU-DIT   CASANOVA                   
LIEU-DIT   CASCIO                     
LIEU-DIT   CASELLA                    
LIEU-DIT   CASTAGNOLU                 
LIEU-DIT   CASTAGNU                   
LIEU-DIT   CASTELLACCIE               
LIEU-DIT   CASTELLE                   
LIEU-DIT   CASUCCIA                   
LIEU-DIT   CATAMALZI                  
LIEU-DIT   CATARAJU                   
LIEU-DIT   CATARELLE                  
LIEU-DIT   CATARELLO                  
LIEU-DIT   CATARELLU                  
LIEU-DIT   CAVALLARECCIO              
LIEU-DIT   CAVONE                     
LIEU-DIT   CHIAPPITONAJO              
LIEU-DIT   CHIARAGGIO                 
LIEU-DIT   CHIARAGGIU                 
LIEU-DIT   CHIARAJIOLI                
LIEU-DIT   CHIARAJOLI                 
LIEU-DIT   CHIARGHIE                  
LIEU-DIT   CHIASSARELLU               
LIEU-DIT   CHIENI                     
LIEU-DIT   CHIESA                     
LIEU-DIT   CHIOSO                     
LIEU-DIT   CHIOSO AL PONTE            
LIEU-DIT   CHIOSTRACCIO               
LIEU-DIT   CHIOSU AL MELU             
LIEU-DIT   CHIOSU AL PONTE            
LIEU-DIT   CHIOSU MAJO                
LIEU-DIT   CHIOSU NOVU                
LIEU-DIT   CHIUSELLA                  
LIEU-DIT   CHIUSELLE                  
LIEU-DIT   CHIUSELLO                  
LIEU-DIT   CHIUSELLU                  
LIEU-DIT   CHIUSTRACCIO               
LIEU-DIT   CHIUTALI                   
LIEU-DIT   CIARSO                     
LIEU-DIT   CIATOLELLO                 
LIEU-DIT   CIATTERINU                 
LIEU-DIT   CIATTONACCIO               
LIEU-DIT   CICILIAJO                  
LIEU-DIT   CINDEROSA                  
LIEU-DIT   CINQUE FRATI               
LIEU-DIT   CIONTRA                    
LIEU-DIT   CIOTTALE                   
LIEU-DIT   CIOTTOLA                   
LIEU-DIT   CIOTTOLI                   
LIEU-DIT   CODA DI GIOCATOJO          
LIEU-DIT   COLGA                      
LIEU-DIT   COLLARA                    
LIEU-DIT   CONTRA                     
LIEU-DIT   CORBACCHIATA               
LIEU-DIT   CORBAGHIA                  
LIEU-DIT   CORBALI                    
LIEU-DIT   CORNACCE                   
LIEU-DIT   CORSO                      
LIEU-DIT   COSTA                      
LIEU-DIT   COSTA DI SAN PETRU         
LIEU-DIT   COSTARSA                   
LIEU-DIT   CRISPELLE                  
LIEU-DIT   CROCE                      
LIEU-DIT   CROCE PINO                 
