20151101
08         ARDENNES                      
LIEU-DIT   LA COTE DOREE              
LIEU-DIT   LA CROIX                   
LIEU-DIT   LA CROYERE                 
LIEU-DIT   LA CULATTE                 
LIEU-DIT   DERRIERE L EGLISE          
LIEU-DIT   AU DESSUS DU BUISSON TROYO 
LIEU-DIT   AU DESSUS DU PRE NOYE      
LIEU-DIT   DESSUS LE MONT DE LA NEUVI 
LIEU-DIT   L ECUSSON                  
LIEU-DIT   L EPINE DES PUISARTS       
LIEU-DIT   FOND DE GRIAIRE            
LIEU-DIT   LE FOND DE VISSENOY        
LIEU-DIT   GERSAY                     
LIEU-DIT   GRAI CHAMP                 
LIEU-DIT   LE GRAND PRE               
LIEU-DIT   LE GRAND TRIOT             
LIEU-DIT   LE GROS SAULE              
LIEU-DIT   LE GROS TERME              
LIEU-DIT   LA HAYETTE                 
LIEU-DIT   L ILLETTE                  
LIEU-DIT   LE JARDIN MELOT            
LIEU-DIT   LA LAQUE                   
LIEU-DIT   LUCHELET                   
LIEU-DIT   MONTDREGICOURT             
LIEU-DIT   LE MONT DE PERTHES         
LIEU-DIT   LE MONT DE VISSENOY        
LIEU-DIT   LE MONT DE VUIDELAINE      
LIEU-DIT   LES MONTUS                 
LIEU-DIT   LA NOETTE                  
LIEU-DIT   NOUE CARREE                
LIEU-DIT   LA NOUE ROA                
LIEU-DIT   L ORLE BABETH              
LIEU-DIT   L ORLE GAGNERET            
LIEU-DIT   LES OSERAIS                
LIEU-DIT   LA PELLE                   
LIEU-DIT   LE PETIT GRIAIRE           
LIEU-DIT   LE PETREAUX                
LIEU-DIT   LE PRE LA COULISSE         
LIEU-DIT   LES PUISARTS               
LIEU-DIT   LA SAUGE                   
LIEU-DIT   SOUS L ORLE DES BUTIS      
LIEU-DIT   SOUS LES MONTS             
LIEU-DIT   TRAVERSANT LE CHEM D AUSSO 
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   PETIT CHAMPAUX             
LIEU-DIT   LA GARE                    
LIEU-DIT   DERRIERE SON LES TROUS     
RUE        BEAUREGARD                 
RUE        DE L EGLISE                
ROUTE      DE PERTHES                 
RUE        PILLIERE                   
RUE        COUR CELESTE               
RUE        GALMICHE                   
RUE        MILLET                     
ROUTE      D AUSSONCE                 
           commune :     ALLAND HUY ET SAUSSEUIL        departement : ARDENNES                      
LIEU-DIT   L ARBRISSEAU               
LIEU-DIT   L AUCHE                    
LIEU-DIT   BARACOUT                   
LIEU-DIT   LA BASSE BECQUE            
LIEU-DIT   LES BASSES PATURES         
LIEU-DIT   LES BAUCHETS               
LIEU-DIT   LES BOUDIERES              
LIEU-DIT   LA BRIQUETTERIE            
LIEU-DIT   LA CAVE                    
LIEU-DIT   LE CHAINON                 
LIEU-DIT   LE CHAMP STE MARIE         
LIEU-DIT   CHARNI BRAYARD             
LIEU-DIT   LES COMMELLES              
LIEU-DIT   LA COQSALLE                
LIEU-DIT   LA COTE DU RUTZ            
LIEU-DIT   CREVE COEUR                
LIEU-DIT   DERRIERE LA GRANGE         
LIEU-DIT   DERRIERE LES RIGOLLES      
LIEU-DIT   ENTRE DEUX TERRES          
LIEU-DIT   L EPINETTE                 
LIEU-DIT   FERME DU CHENOIS GIVRY     
LIEU-DIT   LA FOSSE BAYARD            
LIEU-DIT   FURILLY                    
LIEU-DIT   LES GLOYES                 
LIEU-DIT   LA GRANDE TERRE            
LIEU-DIT   LES GRANDES NOUES          
LIEU-DIT   GRUZIN                     
LIEU-DIT   LA HAUTE BECQUE            
LIEU-DIT   LES HOUIS                  
LIEU-DIT   LES ISLES                  
LIEU-DIT   LE JARDIN                  
LIEU-DIT   LONGUE ROYE                
