20151101
PASSAGE    DES CHASSES                
RUE        DES CHASSES                
RUE        DU CHEMIN VERT             
RUE        DU CIMETIERE               
AVENUE     CLAUDE DEBUSSY             
           GARE CLICHY LEVALLOIS      
PONT       DE CLICHY                  
QUAI       DE CLICHY                  
ESPACE     COLUCHE                    
RUE        CURTON                     
RUE        DAGOBERT                   
PLACE      DANIELE CASANOVA           
BOULEVARD  DE DOUAUMONT               
RUE        DELIGNY                    
RUE        DU DIX HUIT JUIN 1940      
RUE        DU 19 MARS 1962            
RUE        DU 19 MARS 1962            
RUE        DU DOC CALMETTE            
PLACE      DES DOCTEURS BONAMY        
RUE        DU DOC EMILE ROUX          
RUE        DES DROITS DE L HOMME      
IMPASSE    DUMUR                      
VILLA      EMILE                      
PASSAGE    EMILE BERNARD              
QUAI       ERIC TABARLY               
RUE        D ESTIENNE D ORVES         
ALLEE      DE L EUROPE                
RUE        FANNY                      
RUE        FERDINAND BUISSON          
RUE        FERNAND PELLOUTIER         
RUE        FOUCAULT                   
RUE        FOUQUET                    
RUE        FOURNIER                   
RUE        DES FRERES LUMIERE         
RUE        GABRIEL PERI               
RUE        GASTON PAYMAL              
BOULEVARD  DU GENERAL LECLERC         
RUE        DU GAL ROGUET              
PONT       DE GENNEVILLIERS           
ROUTE      DU PORT DE GENNEVILLIERS   
RUE        GEORGES BOISSEAU           
RUE        GEORGES COURTELINE         
RUE        GEORGES SEURAT             
RUE        GEORGES SORET              
RUE        GEORGES QUICLET            
CITE       GERMAIN                    
RUE        GERMAINE DIR               
RUE        GESNOUIN                   
RUE        GEULIN                     
RUE        DU GUICHET                 
RUE        GUSTAVE EIFFEL             
RUE        HENRI BARBUSSE             
RUE        HENRI POINCARE             
RUE        DU 8 MAI 1945              
RUE        HUNTZIGER                  
VILLA      ISIDORE PONCE              
BOULEVARD  JEAN JAURES                
VILLA      JEAN JAURES                
ALLEE      JEAN PROUVE                
RUE        JEAN WALTER                
RUE        JEANNE D ASNIERES          
CITE       JOUFFROY RENAULT           
PLACE      JULES VERNE                
RUE        KLOCK                      
PASSAGE    LACOMBE                    
PASSAGE    LACOMBE                    
RUE        DU LANDY                   
RUE        LEON BLUM                  
ALLEE      LEON GAMBETTA              
RUE        LEROY                      
MAR        DE LORRAINE                
PLACE      LOUIS JOSEPH MAES          
RUE        LUCIEN POILOT              
RUE        MADAME DE SANZILLON        
RUE        MADAME DE STAEL            
PLACE      DE LA MAIRIE               
RUE        MARC BLOCH                 
RUE        MARCEL PAUL                
RUE        MARCELIN BERTHELOT         
PLACE      DU MARCHE                  
RUE        MARC SANGNIER              
RUE        MAL DE LATTRE DE TASSIGNY  
ALLEE      MARIE BRECHET              
RUE        MARTISSOT                  
RUE        MARTRE                     
PLACE      MARTYRS DE L OCCUPATION    
RUE        MEDERIC                    
RUE        MOREL                      
RUE        MORICE                     
RUE        MORILLON                   
RUE        MOZART                     
RUE        DE NEUILLY                 
PASSAGE    NIVERT                     
IMPASSE    DU BOIS                    
CITE       NOUVELLE                   
RUE        OLOF PALME                 
RUE        DU ONZE NOVEMBRE 1918      
PASSAGE    PAILLE                     
RUE        PALLOY                     
PARC       ROGER SALENGRO             
RUE        DE PARIS                   
IMPASSE    PASSOIR                    
RUE        PASTEUR                    
RUE        PAUL DUPONT                
ALLEE      PAUL SIGNAC                
RUE        DU PERE TALVAS             
RUE        PETIT                      
RUE        PIERRE                     
RUE        PIERRE BEREGOVOY           
RUE        PIERRE CURIE               
RUE        PIERRE DAC                 
RUE        PIERRE DREYFUS             
RUE        DU PORT                    
RUE        POYER                      
RUE        DU PROFESSEUR RENE LERICHE 
PASSAGE    DU PUITS BERTIN            
RUE        YITZHAK RABIN              
PASSAGE    REFLUT                     
RUE        RENE VEZIEL                
PLACE      DE LA REPUBLIQUE           
PLACE      REPUBLIQUE F MITTERRAND    
           ILE ROBINSON               
RUE        ROUGET DE L ISLE           
ALLEE      SANTO TIRSO                
VILLA      SIMONE BIGOT               
RUE        SIMONNEAU                  
RUE        SOUCHAL                    
RUE        DE STEPNEY                 
RUE        DES TEINTURIERS            
PARC       THEODORE MONOD             
RUE        TOUZET                     
PASSAGE    TOUZET                     
RUE        DES TROIS PAVILLONS        
RUE        TROUILLET                  
RUE        VALITON                    
ALLEE      VAN GOGH                   
BOULEVARD  VICTOR HUGO                
RUE        VICTOR MERIC               
RUE        VILLENEUVE                 
PLACE      SAINT VINCENT DE PAUL      
RUE        WILLY BRANDT               
           commune :     COLOMBES                       departement : HAUTS-DE-SEINE                
LIEU-DIT   LE BAS DES VOIES DES TARTR 
LIEU-DIT   LES BOURGOGNES             
LIEU-DIT   LES BOUVIERS               
LIEU-DIT   LES CANIBOUTS              
LIEU-DIT   LE CHEM D ARGENTEUIL       
LIEU-DIT   CHEM DE FER DE PARIS AU HA 
LIEU-DIT   CHEM DE FER MANTES ARGENTE 
LIEU-DIT   CHEM DE FER PARIS A MANTES 
LIEU-DIT   CHEM DE FER PARIS HAVRE    
LIEU-DIT   CHEM DE FER RACCORDEMENT   
