20151101
45         LOIRET                        
RUE        DES HAUTES FEUILLES        
RUE        DES HAUTES VARENNES        
CR         NO 123 DES HAUTES VARENNES 
RUE        DES HAUTS DE VIROY         
SQUARE     DU 8 MAI 1945              
RUE        HENRI DUNANT               
RUE        HONORE DE BALZAC           
RUE        JACQUES BREL               
RUE        JEAN COCTEAU               
RUELLE     HERBEUSE                   
RUE        JACQUES PREVERT            
PLACE      JEAN JAURES                
RUE        JEAN MERMOZ                
RUE        JEAN MOULIN                
RUE        JEAN PHILIPPE RAMEAU       
RUE        JEAN PIERRE HERVE BAZIN    
RUE        JEAN MONNET                
RUE        JEAN VILAR                 
ROUTE      DE JOIGNY                  
SENTIER    DES JONCS                  
RUE        DES JONCS                  
RUE        DES JONQUILLES             
RUE        DES JOUSSETS               
RUE        JULES FERRY                
RUE        JULES RAIMU                
RUE        JULES VERNE                
COUR       DE LA JUSTICE              
RUE        DE LA JUSTICE              
CHEMIN     LATERAL                    
CHEMIN     LATERAL A LIGNE DE SENS    
RUE        DU LAVOIR                  
RUE        LEON BLUM                  
RUE        DE LA LETHUMIERE           
RUE        DE LA LIBERATION           
RUE        DE LIVOIS                  
RUE        DES LILAS                  
RUE        LOUIS ARAGON               
RUE        DE LORRAINE                
RUE        LOUIS BLERIOT              
RUE        LUCIEN WAUTIER             
RUE        LOUIS JOUVET               
RUE        DU MAINE                   
RUE        DE LA MAIRIE               
RUE        DES MAISONS NEUVES         
           AISANCE DE MALTAVERNE      
RUE        DE MALTAVERNE              
RUE        DE LA MANILLE              
RUE        MARCEL PAGNOL              
RUE        DU MARCHAIS MURAILLE       
CHEMIN     DU MARCHAIS ROUGE          
RUE        DU MARCHAIS ROUGE          
RUE        DU MAIL                    
RUE        DU MARECHAL JUIN           
RUE        DU MARECHAL LECLERC        
RUE        DE LA MARMETERIE           
RUE        DES MARRONNIERS            
RUE        DES MARTINS                
RUE        DE LA MARE AUX FEES        
IMPASSE    DE LA MARE AUX FEES        
RUE        DU MAUPAS                  
RUE        MAURICE GENEVOIX           
RUE        MAURICE RAVEL              
BOULEVARD  MENDES FRANCE              
RUE        DE LA MERE DIEU            
CHEMIN     MERE DIEU A BROSSERONDE    
