20151101
51         MARNE                         
LIEU-DIT   LE PREDERE                 
LIEU-DIT   LE RAIDON                  
LIEU-DIT   LES RONCES                 
LIEU-DIT   LES SARRES                 
LIEU-DIT   LES SAUSSAIE DE L ORME     
LIEU-DIT   SOUS LE MOULIN             
LIEU-DIT   LES TERRES DES VASSUES     
LIEU-DIT   LE TROU LA LAMPE           
LIEU-DIT   LA VIEILLE FONTAINE        
LIEU-DIT   LES VIGNES DES GREVES      
LIEU-DIT   LES VIGNES DES VAUX        
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LA VIVANDE                 
LIEU-DIT   PETITS FLAIRS              
LIEU-DIT   LA GRANDE MOUCHEUSE        
LIEU-DIT   LES JARDINS                
LIEU-DIT   LE VIVIER                  
RUE        BASSE                      
RUE        DE BETTANCOURT             
RUE        DE CHANOIS                 
RUE        DE LA COTE                 
RUE        DU CUL DE SAC              
IMPASSE    DE LA CURE                 
RUE        DE L EGLISE                
GR         GRANDE RUE                 
RUE        D HEILTZ LE MAURUPT        
RUELLE     DES JARDINS                
RUE        DU MOULIN                  
RUE        PETITE RUE                 
RUE        DES PALIES                 
IMPASSE    DU REPOS                   
RUE        DE VILLERS LE SEC          
           commune :     AMBONNAY                       departement : MARNE                         
LOT        CHAMPS ST SULPICE          
LIEU-DIT   LES AGUSONS                
LIEU-DIT   LES AIGREMONTS             
LIEU-DIT   LES ASSISES                
LIEU-DIT   LES AVES                   
LIEU-DIT   LA BARONETTE               
LIEU-DIT   LE BAS CHIENET             
LIEU-DIT   LE BAS DE LA CRAYERE       
LIEU-DIT   LE BAS DE LA GUILLOTTE     
LIEU-DIT   LE BAS DE LA PERTHE        
LIEU-DIT   LE BAS DE LA PREVEAUTE     
LIEU-DIT   LE BAS DES BERMONTS        
LIEU-DIT   LE BAS DES CHEMINOTS       
LIEU-DIT   LE BAS DES CRUPOTS         
LIEU-DIT   LE BAS DES TOURES          
LIEU-DIT   LA BATARDE                 
LIEU-DIT   LES BERMONTS               
LIEU-DIT   LES BEURYS                 
LIEU-DIT   LES BIERES                 
LIEU-DIT   LES BLANCHES VOIES         
LIEU-DIT   LES BORDES                 
LIEU-DIT   LES BOUITEES               
LIEU-DIT   LE BOUT DU CLOS            
