20151101
32         GERS                          
LIEU-DIT   PINEOU                     
LIEU-DIT   LA PINNE                   
LIEU-DIT   PIONAT                     
LIEU-DIT   LE PLEYS                   
LIEU-DIT   POUGNOUN                   
LIEU-DIT   POUJOLLE                   
LIEU-DIT   QUILLON                    
LIEU-DIT   RAGOT                      
LIEU-DIT   SAINT MARTIN               
LIEU-DIT   SANDEBIDAOU                
LIEU-DIT   SANPUR                     
LIEU-DIT   SOUS LE GRAND BOIS         
LIEU-DIT   TAILLEUR                   
LIEU-DIT   TAOUZIEROT                 
LIEU-DIT   LE TEYS                    
LIEU-DIT   TICHANES                   
LIEU-DIT   TOURNERIE                  
LIEU-DIT   TOURON                     
LIEU-DIT   TOUTAN                     
LIEU-DIT   VILLAGE                    
LIEU-DIT   MARSAOU                    
LIEU-DIT   A LA SEMO                  
           commune :     ARDIZAS                        departement : GERS                          
LIEU-DIT   AS TARTETS                 
LIEU-DIT   A LA PINETTE               
LIEU-DIT   A LA BORDENEUVE            
LIEU-DIT   A BORDENEUVE               
LIEU-DIT   AU BOUSQUET                
LIEU-DIT   A EN CHALON                
LIEU-DIT   AU CHOT                    
LIEU-DIT   A EN COUTURE               
LIEU-DIT   A LA CROIX BLANCHE         
LIEU-DIT   AU CUING                   
LIEU-DIT   A ENBERNUCHE               
LIEU-DIT   A ENBRISOT                 
LIEU-DIT   A ENCROQUELAYGUE           
LIEU-DIT   A ENDENSE                  
LIEU-DIT   A ENJAQUET                 
LIEU-DIT   A ENMAURAN                 
LIEU-DIT   A ENPELUHERE HAMEAU        
LIEU-DIT   A ENPOUJEAN                
LIEU-DIT   A ENQUINQUE                
LIEU-DIT   A ENSOULES                 
LIEU-DIT   AU GENDRON                 
LIEU-DIT   A GUILLAMOTS               
LIEU-DIT   A JAQUETAT                 
LIEU-DIT   A LAPEYRE                  
LIEU-DIT   A LAS BORDES               
LIEU-DIT   A LAS BORDES HAMEAU        
LIEU-DIT   A LAS BRUNES               
LIEU-DIT   A LAS COUMES               
LIEU-DIT   A LAS PRADES               
LIEU-DIT   A LAS ROYES                
LIEU-DIT   A LUGE                     
LIEU-DIT   A MARCASSUS                
LIEU-DIT   A EN MARQUE                
LIEU-DIT   A MENDEHESTE               
LIEU-DIT   MICOULAUX HAMEAU           
LIEU-DIT   A MICOULEAUX               
LIEU-DIT   AU MIDI DU VILLAGE         
LIEU-DIT   A MONTOUSSINES             
LIEU-DIT   AU MOULIN                  
LIEU-DIT   AU MOUSSE                  
LIEU-DIT   AU MOUSSE HAMEAU           
LIEU-DIT   A NICHE                    
LIEU-DIT   AU NORD DU VILLAGE         
LIEU-DIT   AU PADOUENC                
LIEU-DIT   AU PADOUENC HAMEAU         
LIEU-DIT   A EN PATOURET              
LIEU-DIT   AU PETIT POMPIGNAN         
LIEU-DIT   A POMPIGNAN                
LIEU-DIT   A QUELONGUE                
LIEU-DIT   A LA RIVIERE               
LIEU-DIT   A SABOULIES                
LIEU-DIT   A SAINT CHRISTOPHE         
LIEU-DIT   A SAINTE ROSE              
LIEU-DIT   AU SOUREILLAN              
LIEU-DIT   A VIDALOT                  
LIEU-DIT   AU VILLAGE                 
LIEU-DIT   EN CHALON                  
           commune :     ARMENTIEUX                     departement : GERS                          
LIEU-DIT   A BARRAGUET                
LIEU-DIT   A BRESCON                  
LIEU-DIT   A CACHAT                   
LIEU-DIT   A CAILLABEROUS             
LIEU-DIT   A CAMPAN                   
LIEU-DIT   A LA CLAOUZETTE            
LIEU-DIT   A CAPBLAT                  
LIEU-DIT   AUX CARDOUATS              
LIEU-DIT   A CASTEL                   
LIEU-DIT   A CHANAL                   
LIEU-DIT   AU CHARRON                 
LIEU-DIT   A DOUAU                    
LIEU-DIT   A DUCOS                    
LIEU-DIT   A DUSSER                   
LIEU-DIT   AUX EMBARRATS              
LIEU-DIT   A FILIOS                   
LIEU-DIT   AU FRANCES                 
LIEU-DIT   A GAJO                     
LIEU-DIT   A GARONNE                  
LIEU-DIT   A GRACIA                   
LIEU-DIT   AU HAGET                   
LIEU-DIT   A JANICHOU                 
LIEU-DIT   A LABBE                    
LIEU-DIT   A LACAY                    
LIEU-DIT   A LAMARRIGUE               
LIEU-DIT   A LANUSSE                  
LIEU-DIT   A LAPRADE                  
LIEU-DIT   A LAS COSTES               
LIEU-DIT   A LASBARTES                
LIEU-DIT   A LASLANNES                
LIEU-DIT   A LASLOUBES                
LIEU-DIT   LASPEYRADES                
LIEU-DIT   A LASTRECHE                
LIEU-DIT   LEBERON                    
LIEU-DIT   A LUZAC                    
LIEU-DIT   A MARQUET                  
LIEU-DIT   A MARTILLE                 
LIEU-DIT   A MAUPEOU                  
LIEU-DIT   AU MEILHAN                 
LIEU-DIT   A MENE                     
LIEU-DIT   AUX MENGES                 
LIEU-DIT   A MESTAOUGE                
LIEU-DIT   AU MOULIN                  
LIEU-DIT   A MOUNET                   
LIEU-DIT   A MOURES                   
LIEU-DIT   A LA NORINE                
LIEU-DIT   A PATE                     
LIEU-DIT   A PAUL                     
LIEU-DIT   AU PHARAON                 
LIEU-DIT   AU PHILIP                  
LIEU-DIT   A POULOU                   
LIEU-DIT   A LA PRADE                 
LIEU-DIT   A PRADET                   
LIEU-DIT   A ROUBI                    
LIEU-DIT   A SABATHE                  
LIEU-DIT   THEYE                      
LIEU-DIT   A TOULAT                   
LIEU-DIT   A VALENTIN                 
LIEU-DIT   AU VIEUX CIMETIERE         
CHEMIN     DES AUGUSTINS              
IMPASSE    DE CAILLABEROUS            
CHEMIN     DE CARRERE                 
ROUTE      DES CHAMPS                 
ROUTE      DU CLOCHETON               
CHEMIN     DE COUDOUNIES              
CHEMIN     DE CRETE                   
CHEMIN     DE GARONNE                 
CHEMIN     DE LA GRAVIERE             
CHEMIN     DE LASTRECHE               
IMPASSE    DE MAUPEOU                 
CHEMIN     DE MESTAOUGE               
CHEMIN     DU MOULIN                  
CHEMIN     DE POULOU                  
IMPASSE    DE LA PRADE                
           commune :     ARMOUS-ET-CAU                  departement : GERS                          
LIEU-DIT   AUX ACAUBETS               
LIEU-DIT   AUX ARROCS                 
LIEU-DIT   A BAROS                    
LIEU-DIT   BARROTES                   
LIEU-DIT   A LA BASTARRE              
LIEU-DIT   BASTE                      
LIEU-DIT   AU BERDOT                  
LIEU-DIT   BERDOULET                  
LIEU-DIT   A BEROULET                 
LIEU-DIT   BERTALOT                   
LIEU-DIT   AU BEZIN                   
LIEU-DIT   A BILAS                    
LIEU-DIT   BOIS DE BARON              
LIEU-DIT   A BOURBERE                 
LIEU-DIT   AUX BOURDASSES             
LIEU-DIT   A CACHIN                   
LIEU-DIT   A CAMBOS                   
LIEU-DIT   AU CASTAGNET               
LIEU-DIT   AU CASTEROT                
LIEU-DIT   AU CASTEROT D EN BAS       
LIEU-DIT   AU CASTEROT D EN HAUT      
LIEU-DIT   A CATUHET                  
LIEU-DIT   LE CAU                     
LIEU-DIT   A CAUBET                   
LIEU-DIT   A CAUMONT                  
LIEU-DIT   CAUSSADE                   
LIEU-DIT   AU CHATEAU D EAU           
LIEU-DIT   AU CIMETIERE D ARMOUS      
LIEU-DIT   LA COSTO DOU MIEY          
LIEU-DIT   LES COUMES                 
LIEU-DIT   A COUMPANS                 
LIEU-DIT   A CROUTZ                   
LIEU-DIT   A CUDOILLE                 
LIEU-DIT   DERRIERE L EGLISE          
LIEU-DIT   A FONTARABIE               
LIEU-DIT   A GAILLET                  
LIEU-DIT   AU GARRADIS                
LIEU-DIT   AU GASCON                  
LIEU-DIT   LES GESTOUERES             
LIEU-DIT   A LA GRAVE                 
LIEU-DIT   AU HAGET                   
LIEU-DIT   HAMEAU DE BARROTES         
LIEU-DIT   HAMEAU DE ROZES            
LIEU-DIT   A HARTANE                  
LIEU-DIT   A HAURET                   
LIEU-DIT   A HERRE                    
LIEU-DIT   LA HILERO                  
LIEU-DIT   HOUNTAN                    
LIEU-DIT   AU HUSTE                   
LIEU-DIT   A ITERE                    
LIEU-DIT   AUX JULIANS                
LIEU-DIT   A LA LANNE                 
LIEU-DIT   LAS CARRETERES             
LIEU-DIT   LAS MOUCHESOS              
LIEU-DIT   LAS PAGUERES DE NAUDOUN    
LIEU-DIT   LESCUDE                    
LIEU-DIT   AU LOUISAT                 
LIEU-DIT   MALAPAGUE                  
LIEU-DIT   LES MARRIGUES              
LIEU-DIT   MASCAR                     
LIEU-DIT   MAURAN                     
LIEU-DIT   AU MOULIN DE FLOURES       
LIEU-DIT   MOULIN DE PAILLASSE        
LIEU-DIT   AU MOUTA                   
LIEU-DIT   LES MOUTES                 
LIEU-DIT   NAUDOUN                    
LIEU-DIT   LES PAGUERES DE CAU        
LIEU-DIT   PAILLASSE                  
LIEU-DIT   AU PECHAYRE                
LIEU-DIT   PENCHINE                   
LIEU-DIT   PERDIGUE                   
LIEU-DIT   AU PETE DE CAU             
LIEU-DIT   LES PEYRERES               
LIEU-DIT   AU PRESBYTERE DE CAU       
LIEU-DIT   LA RIBERE                  
LIEU-DIT   ROZES                      
LIEU-DIT   AU SOULAN                  
LIEU-DIT   SOULAS                     
LIEU-DIT   SOUNET                     
LIEU-DIT   AU TEOULE                  
LIEU-DIT   TIPAUT                     
LIEU-DIT   AU TOURNEUR                
LIEU-DIT   LE TROY                    
LIEU-DIT   LES USCLADES               
           commune :     ARROUEDE                       departement : GERS                          
LIEU-DIT   AU BARTAOU                 
LIEU-DIT   AU BEDAT                   
LIEU-DIT   A LA CABANERE              
LIEU-DIT   AU CATOC                   
LIEU-DIT   AU COLLONGUES              
LIEU-DIT   AUX COMMUNEAUX             
LIEU-DIT   AU DUHORT                  
LIEU-DIT   A ENCALABRE                
LIEU-DIT   A ENLONGIS                 
LIEU-DIT   AU GERS                    
LIEU-DIT   AU HAOU                    
LIEU-DIT   AU HAOURET                 
LIEU-DIT   A LA LANNE                 
LIEU-DIT   A MANENQUES                
LIEU-DIT   A LA MATTE                 
LIEU-DIT   A LA PEYRO                 
LIEU-DIT   AUX POUCASSOUS             
LIEU-DIT   A LA POUMAREDE             
LIEU-DIT   AU SAOUBAT                 
LIEU-DIT   AU VILLAGE                 
LIEU-DIT   AU MAC                     
LIEU-DIT   LA CARRERE HAMEAU          
LIEU-DIT   AU SACAROT                 
LIEU-DIT   A TRINQUE                  
LIEU-DIT   A CLARAMONT                
LIEU-DIT   A MONTUS                   
LIEU-DIT   AU PASSAMA                 
LIEU-DIT   AUX COUHIS                 
LIEU-DIT   AU CHEM D ENJEAN           
           AU CHEM D ENJEAN           
           commune :     AUBIET                         departement : GERS                          
RESIDENCE  DU STADE                   
LIEU-DIT   AS TINTAYRES               
LIEU-DIT   A BAJAOU                   
LIEU-DIT   A LA BALESTRE              
LIEU-DIT   AU BARBUT                  
LIEU-DIT   A BARES                    
LIEU-DIT   AU BARRY                   
LIEU-DIT   A BEAUREGARD               
LIEU-DIT   EN BEGUE                   
LIEU-DIT   A BELAIR                   
LIEU-DIT   A BENTEJON                 
LIEU-DIT   EN BERDIER                 
LIEU-DIT   A BETBEZE                  
LIEU-DIT   A LA BORDENEUVE            
LIEU-DIT   LA BORDENEUVE DE XAINTRAIL 
LIEU-DIT   AU BOURDERON               
LIEU-DIT   A LA BOURDETTE             
LIEU-DIT   LA BOURDETTE DE LA CAPAROU 
LIEU-DIT   AU BOURDIEU                
LIEU-DIT   AU BOUSCASSE               
LIEU-DIT   A BREQUE                   
LIEU-DIT   A EN BRUNET                
LIEU-DIT   A CABANES                  
LIEU-DIT   EN CAGALIN                 
LIEU-DIT   A CANAS                    
LIEU-DIT   EN CAPERAN                 
LIEU-DIT   AUX CARDINETS              
LIEU-DIT   A CASTERES                 
LIEU-DIT   EN CATALAN                 
LIEU-DIT   EN CHARROULETS             
LIEU-DIT   A LA CLAIRIE               
LIEU-DIT   EN COULOM                  
LIEU-DIT   AU COULOUMAT               
LIEU-DIT   A DAIGNAN                  
LIEU-DIT   A EMBARDON                 
LIEU-DIT   A EMBELLESERE              
LIEU-DIT   A ENBARGUERE               
LIEU-DIT   A ENBOURBON                
LIEU-DIT   ENBOUTIGUE                 
LIEU-DIT   A ENCAPDEHER               
LIEU-DIT   A ENCOQUES                 
LIEU-DIT   A ENDALY                   
LIEU-DIT   ENDOUHAS DE DERRIERE       
LIEU-DIT   ENDOUHAS                   
LIEU-DIT   ENDOUHAS DE DEVANT         
LIEU-DIT   A ENHERRATE                
LIEU-DIT   A ENJELART                 
