20151101
01         AIN                           
RUE        LAURENT BONNEVAY           
RUE        LEON BLUM                  
ALLEE      DE LETRAC                  
AVENUE     DE LA LIBERATION           
ALLEE      LEON TOURNIER BILLON       
RUE        DE LONGERAIE               
RUE        DE LONGERAY                
RUE        LOUIS ARMAND               
ALLEE      LOUIS MOUTHIER             
RUE        LUCIEN ROSENGART           
PLACE      DE LA MAIRIE               
ROUTE      DU MAQUIS                  
AVENUE     MAL DE LATTRE DE TASSIGNY  
RUE        MARCEL PAUL                
RUE        MARIUS BERLIET             
RUE        MARCEL DEMIA               
RUE        MARQUIS ALBERT DE DION     
CHEMIN     EN MARTEL                  
RUE        MARYSE BASTIE              
RUE        MAURICE MARGOT             
AVENUE     DE MERING                  
CHEMIN     EN MOLLARD JOLY            
RUE        DU PROF LUC MONTAGNIER     
RUE        DES MOUETTES               
CHEMIN     NOIR                       
PLACE      NORMANDIE NIEMEN           
RUE        PASTEUR                    
AVENUE     PAUL PAINLEVE              
ALLEE      DE LA PANISETTE            
RUE        DU PENSIONNAT              
           LES PEROUSES               
RUE        DES PEROUSES               
RUE        DE LA PETITE CROZE         
RUE        PHOENIX                    
RUE        PIERRE ET MARIE CURIE      
PLACE      PIERRE SEMARD              
CHEMIN     DU PLATRE                  
RUE        DES PLATTES                
RUE        DE LA POEPE                
RUE        DU PONT                    
CHEMIN     DU PRIEURE                 
RUE        DU PREMONIN                
ALLEE      DES PRES DU NANTET         
ALLEE      DU PRESSOIR                
ALLEE      DU PUBLE                   
RUE        REINE CLOTILDE             
RUE        RENE CACCINI               
RUE        RENE PANHARD               
PLACE      DE LA RENCONTRE            
RUE        DU REPOS                   
RUE        DE LA REPUBLIQUE           
RUE        DE LA RESISTANCE           
PLACE      ROBERT MARCELPOIL          
AVENUE     ROGER SALENGRO             
RUE        ROGER VAILLANT             
CHEMIN     DE RONDE                   
ROUTE      NATIONALE                  
RUE        SAINT EXUPERY              
CHEMIN     DE SAINT GERMAIN           
RUE        ST GEORGES                 
ROUTE      DE SAINT MAURICE           
RUE        DE LA SAINT VINCENT        
RUE        SAINTE MARIE               
RUE        SALVADOR ALLENDE           
PLACE      SARRAIL                    
PLACE      SANVILLE                   
PLACE      DU SGT BERNASCONI          
CHEMIN     DE LA SOMMELIERE           
CHEMIN     DU STADE                   
RUE        DES TERRES DE GY           
PLACE      DE TIRET                   
RUE        DU TIRET                   
RUE        DE LA TOUR                 
CHEMIN     DE LA TOUR MORIER          
RUE        DU TREMOLLARD              
RUE        DU TRIAGE                  
RUE        TRUCHON                    
PLACE      DE VAREILLES               
RUE        DE VAREILLES               
