20151101
39         JURA                          
LIEU-DIT   A LA GARENNE               
LIEU-DIT   AU GRAND CHEMIN            
LIEU-DIT   A LA GRANDE CROIX          
LIEU-DIT   AU LEZENARD                
LIEU-DIT   MAISON BRULEE              
LIEU-DIT   AUX MOUILLARDS             
LIEU-DIT   AU PAVILLON                
LIEU-DIT   PIECES COURBES             
LIEU-DIT   PRE A LA DAME              
LIEU-DIT   AUX PUIATS                 
LIEU-DIT   RIPES D EN BAS             
LIEU-DIT   RIPES D EN HAUT            
LIEU-DIT   RIPES DES FUMEY            
LIEU-DIT   RIPES DES GENTILS          
LIEU-DIT   RIPES DES SAGES            
LIEU-DIT   AUX ROCHARDS               
LIEU-DIT   AUX ROCHES                 
LIEU-DIT   AUX SEPTS FONTAINES        
LIEU-DIT   SOUS LA COTE               
LIEU-DIT   SOUS LA FOUGERE            
LIEU-DIT   SOUS LA PIE                
LIEU-DIT   SOUS LE CHATEAU            
LIEU-DIT   SOUS LE CRET               
LIEU-DIT   SOUS LES POIRIERS          
LIEU-DIT   A LA VERRE                 
LIEU-DIT   VERS LE BOIS REVILLARD     
LIEU-DIT   VERS LE GRAND CHEMIN       
LIEU-DIT   A LA VIGNE                 
LIEU-DIT   AU VILLAGE                 
LIEU-DIT   SUR LA VILLE               
LIEU-DIT   VERS LA FONTAINE           
LIEU-DIT   LES RIPPES                 
LIEU-DIT   LES ROCHES                 
RUE        DES AUGES                  
RUE        DU CHATEAU D'EAU           
RUE        DE L'ECOLE                 
RUE        DE L'EGLISE                
RUE        DU MONUMENT                
RUE        DU PRESBYTERE              
RUE        PRINCIPALE                 
RUE        DU QUARTIER                
           commune :     AMANGE                         departement : JURA                          
LOT        LES CHAPELIERES            
LOT        CHANTEMERLE                
LIEU-DIT   BLANCHOTS                  
LIEU-DIT   LES BLANCHOTS              
LIEU-DIT   A LA BOURELIERE            
LIEU-DIT   BOUT DE CHATENOIS          
LIEU-DIT   BOUT DE ROCHEFORT          
LIEU-DIT   LES BRUYERES               
LIEU-DIT   AUX CHAILLES               
LIEU-DIT   LES CHAILLES               
LIEU-DIT   CHANTE GUAY                
LIEU-DIT   LA CHAPELIERE              
LIEU-DIT   LES CHAPELIERES            
LIEU-DIT   SUR LA CHARME              
LIEU-DIT   LA COMBE                   
LIEU-DIT   COMMARIN                   
LIEU-DIT   LES CORVEES                
LIEU-DIT   LES COUENNES               
LIEU-DIT   DERRIERE LE CHATEAU        
LIEU-DIT   SUR L ETANG                
LIEU-DIT   LES FEUILLEES              
LIEU-DIT   FIN DE VAUX                
LIEU-DIT   FORET DAVAU                
LIEU-DIT   LES FOURNEES               
LIEU-DIT   LES GORGES                 
LIEU-DIT   LA JEANNOTTE               
LIEU-DIT   LA MADONNE                 
LIEU-DIT   MONMONT                    
LIEU-DIT   AUX MOULIERES              
LIEU-DIT   A NANTERRE                 
LIEU-DIT   LE PERTHUIS                
LIEU-DIT   LA PLANCHOTTE              
LIEU-DIT   LES POISSONNIERES          
LIEU-DIT   PRE D AMONT                
LIEU-DIT   RUE DU PRE FOUCHARD        
LIEU-DIT   SUR LE RANG                
LIEU-DIT   EN ROUGEAU                 
LIEU-DIT   LA SERRE                   
LIEU-DIT   TEINTRES                   
LIEU-DIT   TERRES ROUGES              
LIEU-DIT   TINTIN                     
LIEU-DIT   VAUTRABERT                 
LIEU-DIT   LES VERGEROTS              
LIEU-DIT   AU VILLAGE                 
RUE        DE LA FONTENOTTE           
RUE        DU FOUR                    
CHEMIN     DU MOULIN                  
RUE        DE LA BOUCLE               
IMPASSE    DES CHARMILLES             
RUE        DES DIGITALES              
ALLEE      DE LA FORET                
RUE        DES GENTIANES              
IMPASSE    DU MOULINOT                
RUE        DE SCEY                    
CHEMIN     D AMANGE A CHATENOIS       
RUE        DE CHATENOIS               
ROUTE      DE MOISSEY                 
RUE        CHARLES BLANC              
RUE        DES CHENES                 
RUE        DE LA FONTAINE             
RUE        DU STADE                   
RUE        DES VERGERS                
           commune :     ANDELOT-EN-MONTAGNE            departement : JURA                          
LIEU-DIT   ANDELOT DESSUS             
LIEU-DIT   LES BAUCHES                
LIEU-DIT   AUX BIOUX                  
LIEU-DIT   BOIS COTE BERNARD          
LIEU-DIT   BOIS DE LA CHASSAGNE       
LIEU-DIT   BOIS DE LA ROCHETTE        
LIEU-DIT   BOIS DU CREUX DE FER       
LIEU-DIT   BOIS MONTAUTHIER ET CREUX  
LIEU-DIT   LA BRUYERE                 
LIEU-DIT   AUX CANARDS                
LIEU-DIT   LES CHAILLONS              
LIEU-DIT   CHAMP BENET                
LIEU-DIT   CHAMP CHAVOYE              
LIEU-DIT   CHAMP COTTON               
LIEU-DIT   CHAMP DE LA FONTAINE       
LIEU-DIT   CHAMPS CHANAUX             
LIEU-DIT   CHAMPS CHAVOYE             
LIEU-DIT   CHAMPS DE LA COTE          
LIEU-DIT   CHAMPS DU SOUDAN           
LIEU-DIT   CHAMPS DU SOUDAN           
LIEU-DIT   AUX CHAPEAUX               
LIEU-DIT   LES CHAPEAUX               
LIEU-DIT   LA CHASSAGNE               
LIEU-DIT   AUX CHAUSSERETS            
LIEU-DIT   AUX CHAZAUX                
LIEU-DIT   AUX CHAZEAUX               
LIEU-DIT   LE CLOS                    
LIEU-DIT   A LA COMBE                 
LIEU-DIT   COMBE EDMOND               
LIEU-DIT   COMBE ETANNEY              
LIEU-DIT   LES COMMUNAILLES           
LIEU-DIT   LES CORNETS                
LIEU-DIT   A LA COTE                  
LIEU-DIT   LES COURBES                
LIEU-DIT   LA CREUSE                  
LIEU-DIT   DERRIERE LA COTE           
LIEU-DIT   DERRIERE MONTSEVELY        
LIEU-DIT   AUX EPINETTES              
LIEU-DIT   AUX FENYS                  
LIEU-DIT   LES FEUILLOTS              
LIEU-DIT   LES FUILLOTS ET SOURDES    
LIEU-DIT   LA GARE                    
LIEU-DIT   LES GRANDS PRES            
LIEU-DIT   SUR LES GRANGES DU BOIS    
LIEU-DIT   LES ILOTS                  
LIEU-DIT   AUX MARAIS                 
LIEU-DIT   AUX MILLIERES              
LIEU-DIT   AUX MONTS DE CHAPOIS       
LIEU-DIT   LA MOTTE MALPART           
LIEU-DIT   LES MOUILLARES             
LIEU-DIT   LA NUE                     
LIEU-DIT   PATURE DE LA COTE          
LIEU-DIT   PATURE DE MONTSEVELY       
LIEU-DIT   AUX PETITS CHENES          
