20151101
78         YVELINES                      
LIEU-DIT   GRANDE PIECE D ADAINVILLE  
LIEU-DIT   GRANDE PIECE DE LA TUILERI 
LIEU-DIT   LES GRANDES HAIES          
LIEU-DIT   LA GRANGE DU MAN           
LIEU-DIT   LES GRAVIERS               
LIEU-DIT   LES GRAVIERS DE LA PERRUCH 
LIEU-DIT   LA GROSSE HAIE             
LIEU-DIT   LE GUE PORCHER             
LIEU-DIT   LA GUERGUIMOND             
LIEU-DIT   LA HAIE MARCEL             
LIEU-DIT   LA HEURTERIE               
LIEU-DIT   LA JAUNIERE                
LIEU-DIT   LES LONGS CHAMPS           
LIEU-DIT   LA MARE DU VIVIER          
LIEU-DIT   MARIE MAGDELEINE           
LIEU-DIT   LE MESLE                   
LIEU-DIT   LES MINIERES               
LIEU-DIT   LE MONT ROTI               
LIEU-DIT   LA NISOTERIE               
LIEU-DIT   LA NOUE                    
LIEU-DIT   LA PERRUCHE                
LIEU-DIT   LE PETIT BOIS              
LIEU-DIT   LES PETITES BRUYERES       
LIEU-DIT   LA PILONNERIE              
LIEU-DIT   LA PLANCHE                 
LIEU-DIT   LE PLAN  DU MESLE          
LIEU-DIT   LE POIRIER JANOT           
LIEU-DIT   LA POLICERIE               
LIEU-DIT   PRAIRIE DE CONDE           
LIEU-DIT   PRAIRIE DE LA HEURTERIE    
LIEU-DIT   PRAIRIE DE LA JAUNIERE     
LIEU-DIT   PRAIRIE DE LA MAGDELAINE   
LIEU-DIT   PRAIRIE DE MARIE MAGDELEIN 
LIEU-DIT   PRAIRIE DES SERGONTIERES   
LIEU-DIT   PRAIRIE DU MESLE           
LIEU-DIT   LE PRE PATIS               
LIEU-DIT   QUEUE DE BERT              
LIEU-DIT   LA ROULIERE                
LIEU-DIT   SAINT THIBAULT             
LIEU-DIT   SERGONTIERES               
LIEU-DIT   LES SIX SAULES             
LIEU-DIT   LES TAILLIS                
LIEU-DIT   LA THIAUDERIE              
LIEU-DIT   LE TROU ROUGE              
LIEU-DIT   LA TUILERIE                
LIEU-DIT   LA VALLEE                  
LIEU-DIT   VALLEE DE MISERE           
LIEU-DIT   VALLEE DE MONTFORT         
LIEU-DIT   VALLEE DES SAULES          
LIEU-DIT   LES VALLEES DU COUDRAY     
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LE PRE AU MOINE            
ROUTE      DE MESLE GUERGUIMOND       
ROUTE      DE LA BOISSIERE            
ROUTE      DU BREUIL                  
GR         GRANDE RUE                 
ROUTE      DE LA CHESNAIE             
RUE        DES CLOS                   
PLACE      DE L EGLISE                
ALLEE      DE L ETANG                 
CHEMIN     FEU SAINT JEAN             
RUE        DU FEU ST JEAN             
IMPASSE    DE FREVILLE                
RUE        DE FREVILLE                
RUE        DES GENETS                 
CHEMIN     DE GRANCHAMP               
CHV        CHEM VICINAL               
           BRUYERE DES VALLEES        
ROUTE      DE CONDE SUR VESGRE        
ROUTE      DE GRANDCHAMP              
ROUTE      DE LA HOUSSINE             
ROUTE      DE LA JAUNIERE             
RUE        DE LA LOI                  
ROUTE      DU MESLE                   
RUE        DES MINIERES               
RUE        DE LA NOUE                 
RUE        DES PRUNUS                 
CHEMIN     DE LA ROULIERE             
IMPASSE    DES SERGONTIERES           
ROUTE      DES SERGONTIERES           
CHEMIN     DE LA TUILERIE             
ROUTE      DE LA VALLEE DES SAULES    
ROUTE      DU VIVIER                  
           commune :     AIGREMONT                      departement : YVELINES                      
LIEU-DIT   LES BOIS DES DAMES         
LIEU-DIT   LES BOIS MAILLARD          
LIEU-DIT   LES CLOS                   
LIEU-DIT   LE CLOS DES AULNES         
LIEU-DIT   LES COMMUNES               
LIEU-DIT   LES FONCEAUX               
LIEU-DIT   LE FOND DE LA MALADRERIE   
LIEU-DIT   LES FREVEAUX               
LIEU-DIT   LA GATINE                  
LIEU-DIT   LES GRAIS                  
LIEU-DIT   LE GRAND CLOS              
LIEU-DIT   LA GRANDE PIECE            
LIEU-DIT   LA GROSSE VENTE            
LIEU-DIT   LES JACHERES               
LIEU-DIT   LE MARAIS                  
LIEU-DIT   LA MARE                    
LIEU-DIT   LE MARTINVAL               
LIEU-DIT   LE POIRIER DE FOSSE        
LIEU-DIT   LA RANGEE                  
LIEU-DIT   LA REMISE                  
LIEU-DIT   LA VENTE BOUILLANTE        
LIEU-DIT   LES VENTES D HERBELAY      
LIEU-DIT   LES VIGNES                 
LIEU-DIT   LE VILLAGE                 
AUTOROUTE  A 13 DE NORMANDIE          
RUE        DE L ABREUVOIR             
ALLEE      DES AULNES                 
RUE        DE CHAMBOURCY              
PLACE      DU CHATEAU                 
RUE        DU CLAIR MATIN             
RUE        DU CLOS                    
RUE        DES COMMUNES               
RUE        DE LA COTE DES GRES        
ALLEE      DES COTTAGES               
ALLEE      SAINT ELOI                 
RUE        DE FEUCHEROLLES            
CHEMIN     DE FEUCHEROLLES A RETZ     
RUELLE     DES FONCEAUX               
CHEMIN     DU FOND BARBIER            
RUE        DES VIGNES                 
PLACE      DE LA FONTAINE             
ALLEE      DES FRAMBOISIERS           
GR         GRANDE RUE                 
ALLEE      DES JACHERES               
RUELLE     DU LAVOIR                  
ROUTE      DE MANTES                  
VC         HAMEAU DES MEUNIERS        
ALLEE      DU MARAIS                  
CR         1 DIT DES MEUNIERS         
CHEMIN     DE LA MARNIERE             
CHEMIN     NEUF                       
ALLEE      DES POMMIERS               
ALLEE      DU POIRIER                 
ALLEE      DE PONCY                   
SENTIER    DE PONCY                   
ROUTE      DES QUARANTE SOUS          
ALLEE      DES PRUNIERS               
ROUTE      DE LA RANGEE               
RUE        DES SOURCES                
ALLEE      DES VERGERS                
CHEMIN     VERT                       
ALLEE      DE LA VICTOIRE             
AUTOROUTE  AUTOROUTE A13              
VC         HAMEAU DE LA FERME         
CR         CR 4                       
           commune :     ALLAINVILLE AUX BOIS           departement : YVELINES                      
RESIDENCE  SAINT MARC                 
RESIDENCE  SAINT PAUL                 
RESIDENCE  SAINT PIERRE               
LIEU-DIT   BEL AIR                    
LIEU-DIT   LE BOIS DE HATTONVILLE     
LIEU-DIT   BOIS DE LA FERME           
LIEU-DIT   BOIS DU GRIPET             
LIEU-DIT   LES BOTERNES               
LIEU-DIT   LE BUISSON DES TROIS MUIDS 
LIEU-DIT   SUR LE CHEMIN D OBVILLE    
LIEU-DIT   SUR LE CHEMIN DE BOINVILLE 
LIEU-DIT   LE CHEMIN DE LA RUELLE     
LIEU-DIT   SUR LE CHEMIN DE SOUPLAINV 
LIEU-DIT   SUR CHEMS DE PARAY ET ST M 
LIEU-DIT   LE CIROLIER                
LIEU-DIT   FERME D ERAINVILLE         
LIEU-DIT   FERME DE GROSLIEU          
LIEU-DIT   FERME DE SOUPLAINVILLE     
LIEU-DIT   FOSSES GAUTHIER ET BRAS LA 
LIEU-DIT   LES FOSSES ROUGES          
LIEU-DIT   LA GATINE                  
