20151101
54         MEURTHE ET MOSELLE            
LIEU-DIT   AU TERME                   
LIEU-DIT   TOURNEPIERRE               
LIEU-DIT   VAULECLERC                 
LIEU-DIT   VAUX CHOE                  
LIEU-DIT   VAUX DE THUILLEY           
LIEU-DIT   VAUX DESSOUS               
LIEU-DIT   VAUX DESSUS                
LIEU-DIT   SUR LE VAUX LECLERC        
LIEU-DIT   LA VIGNE RENARD            
LIEU-DIT   VILAIN ROSEAU              
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LA VOIE DE BARISEY         
LIEU-DIT   LA VOIE FERREE             
LIEU-DIT   VOISSEUX                   
LIEU-DIT   AU TERME DE CREZILLES      
LIEU-DIT   PEAGE D ALLAIN             
LIEU-DIT   AUTOROUTES PARIS RHIN RHON 
CHEMIN     DU BLEUET                  
RUE        DE LA FERME                
CHEMIN     DU CIMETIERE               
CHEMIN     DE CONTOURNEMENT           
CHEMIN     DU COUCOU                  
RUE        DE LA COUR                 
CHEMIN     DE CREPEY                  
IMPASSE    DE L ESTOURNEL             
CHEMIN     DE GERARD BOUCHER          
CHEMIN     DU HAN                     
RUE        DES HERBUES                
RUE        JOSEPH MARIUS MILLOT       
ROUTE      NATIONALE                  
RUE        ETIENNE OLRY               
CHEMIN     DU PUITS                   
RUE        DE LA RUELLE               
RUE        DU SENTIER DE MOUTROT      
GR         GRANDE RUE                 
RUE        DU TRAIT                   
RUE        DE LA VOIE DE L EAU        
RUE        DE LA VOIE DE L EAU        
           commune :     ALLAMONT                       departement : MEURTHE ET MOSELLE            
LOT        BLANCHARD                  
LIEU-DIT   ALLAMONT                   
LIEU-DIT   BLANCHART                  
LIEU-DIT   BOIS D ALLAMONT            
LIEU-DIT   BOIS DE DOMPIERRE          
LIEU-DIT   BOIS DES OLLIERES          
LIEU-DIT   BOIS DES SEIGNEURS         
LIEU-DIT   BOIS LE CHANTRE            
LIEU-DIT   BRAND HANT                 
LIEU-DIT   LE BREUIL                  
LIEU-DIT   CANTON DU GROS BOIS        
LIEU-DIT   CHOUVETADE                 
LIEU-DIT   LES COILLAUX               
LIEU-DIT   CORBEAU                    
LIEU-DIT   DERRIERE LA CURE           
