20151101
LIEU-DIT   GRANDS SOUS LES GENEVES    
LIEU-DIT   GRANDS SUR LA FOLIE        
LIEU-DIT   GRANDS SUR LA JONQUIERE    
LIEU-DIT   GRANDS SUR PRE GRIGY       
LIEU-DIT   GREGOIRE JACQUES           
LIEU-DIT   GREGOIRE SUR LA GAULE      
LIEU-DIT   SUR GREVE                  
LIEU-DIT   EN GREVE                   
LIEU-DIT   HAIE CHATELAINE            
LIEU-DIT   HAIE NOULCHAMP             
LIEU-DIT   HAUT DE LA FRICHE          
LIEU-DIT   SUR LA JONQUIERE           
LIEU-DIT   JONQUIERE AU MILIEU        
LIEU-DIT   JONQUIERE EN BAS           
LIEU-DIT   JONQUIERE EN HAUT          
LIEU-DIT   JONQUOIS                   
LIEU-DIT   CHEMIN DE FER              
LIEU-DIT   LONGUES RAIES              
LIEU-DIT   EN RUE                     
LIEU-DIT   MILIEU DU PREHE            
LIEU-DIT   NARAINCHAMP                
LIEU-DIT   LA NIED                    
LIEU-DIT   NIED FRANCAISE             
LIEU-DIT   PAILLON                    
LIEU-DIT   PATURAL DU NID DE SOLGNE   
LIEU-DIT   PATURAL LAINE              
LIEU-DIT   SUR LE PATURAL LE ROI      
LIEU-DIT   PATURAL LE ROI             
LIEU-DIT   PATURAL SOUS FT            
LIEU-DIT   PIECE DE LIOCOURT          
LIEU-DIT   PIECE LE SUISSE            
LIEU-DIT   PINGEOTTES                 
LIEU-DIT   AU POIRIER BAZIN           
LIEU-DIT   POIRIER DE CHAT            
LIEU-DIT   SUR LE PONT NEUF           
LIEU-DIT   PORTIONS DE NARAINCHAMP    
LIEU-DIT   PRE CHATELAIN              
LIEU-DIT   SUR LE PRE DE ZENBAS       
