20151101
60         OISE                          
LIEU-DIT   MOULIN DU PONT ROY         
LIEU-DIT   LE MUID DE CHELLES         
LIEU-DIT   LE NOYER BOUDINOTTE        
LIEU-DIT   L ORGIBAYE                 
LIEU-DIT   LES PATIS                  
LIEU-DIT   LE PAVILLON                
LIEU-DIT   LE PAVILLON DE GICOURT     
LIEU-DIT   LA PETITE CENDREE          
LIEU-DIT   LA PETITE COUTURE          
LIEU-DIT   LE PIED CORNIER            
LIEU-DIT   LA PLAINE                  
LIEU-DIT   POIRIER MULOT              
LIEU-DIT   LE PONT DE TERRE           
LIEU-DIT   PRAIRIE DE BROQUIER        
LIEU-DIT   LES PRES A FOULON          
LIEU-DIT   PRES BERNAULT              
LIEU-DIT   LES PRES DE COMTE          
LIEU-DIT   LES PRES DE GICOURT        
LIEU-DIT   PRES DE LA CHAU DE RAMECOU 
LIEU-DIT   PRES DE LESSIER            
LIEU-DIT   LES PRES DE LOZIERES       
LIEU-DIT   PRES DE RAMECOURT          
LIEU-DIT   LES PRES DES HALLES        
LIEU-DIT   LES PRES DES HALLES SUD    
LIEU-DIT   PRES DU CIMETIERE          
LIEU-DIT   PRES DU CONTROLEUR         
LIEU-DIT   LES PRES MARION            
LIEU-DIT   LES PRES NAINS             
LIEU-DIT   PRES NOTRE DAME            
LIEU-DIT   LES QUARANTE MINES         
LIEU-DIT   LES QUATRE MUIDS  SUD      
LIEU-DIT   RAMECOURT                  
LIEU-DIT   RONQUEROLLES               
LIEU-DIT   LA RUE DE L EMPIRE         
LIEU-DIT   RUE DE LA HAUT EST         
LIEU-DIT   LA RUE DE LA HAUT OUEST    
LIEU-DIT   LA RUE DE MORIVAL          
LIEU-DIT   LA RUE DOREE               
LIEU-DIT   LA RUE DU MARAIS           
LIEU-DIT   LES SABLES D AGNETZ        
LIEU-DIT   LES SABLES DE RAMECOURT    
LIEU-DIT   LES SABLONS                
LIEU-DIT   SAINT ANTOINE              
LIEU-DIT   SOUS LE BOIS FLORIMONT     
LIEU-DIT   SOUS LES POIRIERS          
LIEU-DIT   LA TERRIERE                
LIEU-DIT   LA TUILERIE                
LIEU-DIT   LA VALLEE BONNETTE         
LIEU-DIT   VIEUX CHAUFOUR             
LIEU-DIT   LES VIGNES                 
LIEU-DIT   LES VIGNES DE BOULINCOURT  
LIEU-DIT   LE VIVIER                  
LIEU-DIT   LA VOIRIE AUX JONCS        
LIEU-DIT   LES 4 MUIDS                
LIEU-DIT   LA BESINERIE EST           
LIEU-DIT   LA BESINERIE OUEST         
LIEU-DIT   LE BOSQUET FETU NORD       
LIEU-DIT   L ORGIBAYE SUD             
FRM        DE LA GARENNE              
           PAVILLON DE CHASSE         
N          3 1 LE CLERMOTEL           
IMPASSE    DE LA VOIRIE DE L USAGE    
RUE        AMEDEE BIGAND              
PLACE      ANDRE ROUSSELET            
IMPASSE    ARSENE TALON               
IMPASSE    IMPASSE BEAUREGARD         
CHEMIN     DE LA HAUTE VOIRIE         
RUE        DES BUTTES                 
ALLEE      DU CHAMP BLANC             
RUE        CHARLES MORENVILLE         
RUE        DU CIMETIERE               
PLACE      DES DEPORTES               
RUE        DU 17 JUIN 1944            
RUE        DE L EGLISE                
RUE        DE L EMPIRE                
RUE        DE L ENFER                 
RUE        DE LA FONTAINE SAINT LEGER 
RUE        DE FROISSY                 
RUE        GEORGES HARDIVILLE         
RUE        HENRI LAMBERT              
RUELLE     JEROME                     
RUE        DES MARAIS                 
RUE        DE LA MONTAGNE             
RUE        DES MUIDS                  
N          RTE NATIONALE              
RUE        DE LA PETITE COUTURE       
RUE        DE LA PLAINE               
RUE        DU PONT DE TERRE           
RUE        DES RAQUES                 
RUE        RAYMOND BENOIST            
RUE        ROBERT WEISS               
RUE        ANDRE DEMOUY               
RUE        DE LA CANONNIERE           
CHEMIN     DE LA GARDE                
RUE        DES SOURCES                
RUE        DE L ABBAYE                
RUE        BERNARD LAURENT            
RUE        DU CHAUFOUR                
RUE        DE CREVECOEUR              
RUE        DOREE                      
RUE        DU HARAS                   
RUE        HENRI AYRALD               
RUE        DE LESSIER                 
RUE        DU MOULIN DE LA BRECHE     
IMPASSE    DU POIRIER MULOT           
RUE        DU PONT ROY                
RUE        MARCEAU ANSELME            
IMPASSE    ORGET                      
IMPASSE    DE RAMECOURT               
PLACE      ANDRE BOUSSELET            
PLACE      ARISTIDE BRIAND            
RUE        AURELIEN MASSE             
IMPASSE    BEAUREGARD                 
RUELLE     DE L EGLISE                
RUE        DE L ETANG DE CRECY        
RUE        DE FAY                     
RUELLE     DU PRESBYTERE              
CHEMIN     DES VIGNES                 
RUE        DE LA CROIX VERTE          
RUE        DU CHAUFFOUR               
RUE        DU BOSQUET                 
IMPASSE    DE LA CROIX VERTE          
