20151101
36         INDRE                         
LIEU-DIT   LES LANDES                 
LIEU-DIT   LES LAS                    
LIEU-DIT   LE LECTIN                  
LIEU-DIT   LES LETIERES               
LIEU-DIT   LES LIGNES                 
LIEU-DIT   LA LIMOUSINIERE            
LIEU-DIT   LES LIOTTERIES             
LIEU-DIT   LES LOGES                  
LIEU-DIT   LE MACHEFER                
LIEU-DIT   LA MAISON BRULEE           
LIEU-DIT   LES MAISONS NEUVES         
LIEU-DIT   LES MAISONS ROUGES         
LIEU-DIT   LE MARCHAIS DE LA LIMOUSIN 
LIEU-DIT   LE MARET                   
LIEU-DIT   LES MARGES                 
LIEU-DIT   LA MARNIERE                
LIEU-DIT   LES MARNIERES              
LIEU-DIT   LES MAUBETTERIES           
LIEU-DIT   MAUREPAS                   
LIEU-DIT   LES MAZELLES               
LIEU-DIT   LES MELIERS                
LIEU-DIT   LES MEROLLES               
LIEU-DIT   LE MILLERAIN               
LIEU-DIT   LES MISANDES               
LIEU-DIT   LA MONTAGNE                
LIEU-DIT   LE MORET                   
LIEU-DIT   LES MORIETS                
LIEU-DIT   LA MORILLERE               
LIEU-DIT   LES MORINIERES             
LIEU-DIT   LES MURAILLES              
LIEU-DIT   LES NOIRAS                 
LIEU-DIT   LES NOISETTES              
LIEU-DIT   OUCHE AUX PAILLES          
LIEU-DIT   L OUCHE DU POIRE           
LIEU-DIT   LE PARC                    
LIEU-DIT   LA PATAUDIERE              
LIEU-DIT   LE PATEAU                  
LIEU-DIT   PATUREAU DE L ORME         
LIEU-DIT   PATUREAU DE LA VIGNE       
LIEU-DIT   PATUREAU DES TROIS CHENES  
LIEU-DIT   LES PERREUX                
LIEU-DIT   PERREUX DES BASSETS        
LIEU-DIT   LES PERRIERES              
LIEU-DIT   LE PERRY                   
LIEU-DIT   LE PETIT CHEZEAU           
LIEU-DIT   LE PETIT MORIET            
LIEU-DIT   LA PETITE CHARTRERIE       
LIEU-DIT   LES PETITES BRUYERES       
LIEU-DIT   LES PETITES TAILLES        
LIEU-DIT   LES PETITS CHAMPS          
LIEU-DIT   LES PETITS LAS             
LIEU-DIT   LES PETITS PRES            
LIEU-DIT   PIECE D ANJOUIN            
LIEU-DIT   PIECE DE LA ROICHERE       
LIEU-DIT   PIECE DES BARDAUX          
