20151101
RUE        D AGACHE                   
RUE        DE BERTRANCOURT            
IMPASSE    DU BOIS                    
CHEMIN     DE CONTAY                  
RUE        DU CUL DE SAC              
RUE        D EN HAUT                  
CHEMIN     D HERISSART                
PCH        PETIT CHEMIN DES 2 MARES   
RUELLE     ST JEAN                    
RUE        DE LEALVILLERS             
RUE        DE FORCEVILLE              
RUE        DE LOUVENCOURT             
RUE        DE LEALVILLERS             
CHEMIN     DE MAILLY MAILLET          
PCH        DES DEUX MARES             
RUE        MARIE MARGUERITE           
ROUTE      NATIONALE                  
RUE        NEUVE                      
RUE        DE PERONNE                 
CHEMIN     DU TOUR DES HAIES          
RUE        DE VARENNES                
RUE        RAYMOND DE WAZIERES        
           commune :     ACHEUX-EN-VIMEU                departement : SOMME                         
HAM        DE FRIREULLES              
HAM        DE ZOTEUX                  
LIEU-DIT   AUX ARBRES                 
LIEU-DIT   AUX ARBRES DE CAMPAGNE     
LIEU-DIT   AUX ARBRES DE MONCHAUX     
LIEU-DIT   LE BARVILLE                
LIEU-DIT   BAS BARVILLE               
LIEU-DIT   BOIS AUX FOURMIES          
LIEU-DIT   BOIS DE L ETROIT           
LIEU-DIT   LE CATELET                 
LIEU-DIT   LE CHATEAU                 
LIEU-DIT   AU CHEMIN BRULE            
LIEU-DIT   AU CHEMIN DE BOUILLANCOURT 
LIEU-DIT   AU CHEMIN DE CHEPY A FRIER 
LIEU-DIT   AU CHEMIN DE MONCHAUX      
LIEU-DIT   AU CHEMIN PERDU            
LIEU-DIT   LE CORNET                  
LIEU-DIT   LA CROIX DE PIERRE         
LIEU-DIT   CROIX DIEU                 
LIEU-DIT   LES DIX SEPT               
LIEU-DIT   LES DOUZE                  
LIEU-DIT   L ECHANTILLON              
LIEU-DIT   AUX EPINES                 
LIEU-DIT   FOND DE LA CAVEE           
LIEU-DIT   FRIERES                    
LIEU-DIT   FRIREULLES                 
LIEU-DIT   LE GRAND PRE               
LIEU-DIT   LES GRANDS RIOTS           
LIEU-DIT   HAUT BARVILLE              
LIEU-DIT   HAUT DES GRANDS RIOTS      
LIEU-DIT   LA HAYETTE                 
LIEU-DIT   LA LONGUE ATTENTE          
LIEU-DIT   LA LOUVIERE                
LIEU-DIT   LES MEILLONS               
LIEU-DIT   AU MOULIN A L HUILE        
LIEU-DIT   AU MOULIN BRULE            
LIEU-DIT   AU MOULIN D ACHEUX         
LIEU-DIT   AU MOULIN DE FRIERES       
LIEU-DIT   LA NELETTE                 
LIEU-DIT   LES NEUF                   
LIEU-DIT   LE PAMOYE                  
LIEU-DIT   PLACE DE FRIERES           
LIEU-DIT   LES PRES D EN BAS          
LIEU-DIT   LES QUARANTE               
LIEU-DIT   LES QUINZE                 
LIEU-DIT   AUX REMISES VERS ZOTEUX    
LIEU-DIT   RIDEAU BIGEOIS             
LIEU-DIT   RIDEAU RENAUD              
LIEU-DIT   LA SAVONNIERE              
LIEU-DIT   AU SENTIER DE CHEPY        
LIEU-DIT   AU SENTIER DE MONCHAUX     
LIEU-DIT   AU SENTIER DES MEUNIERS    
LIEU-DIT   LES SEPT                   
LIEU-DIT   SOUS LE MOULIN BRULE       
LIEU-DIT   SOUS LES PRES BLANCS       
LIEU-DIT   TERRE MAILLET              
LIEU-DIT   TERRE SAINTE MARGUERITE    
LIEU-DIT   VAL LAURENT                
LIEU-DIT   LE VAL RIDON               
LIEU-DIT   VALLEE DE MIANNAY          
LIEU-DIT   VALLEE DE ZOTEUX           
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LES VINGT CINQ             
LIEU-DIT   LES VINGT QUATRE           
LIEU-DIT   ZOTEUX                     
LIEU-DIT   AU BOIS D ACHEUX           
LIEU-DIT   LES HUIT AUX QUATRE CHEMIN 
LIEU-DIT   PETIT ACHEUX               
RUE        ABBEVILLE                  
RUE        D ACHEUX FRIERES           
RUE        DE L AMIRAL                
RUE        DES AUBEPINES              
RUE        BASTIEN                    
