20151101
95         VAL D OISE                    
LIEU-DIT   LA HAIE NORMANDE           
LIEU-DIT   LA HAIE NORMANDE OUEST     
LIEU-DIT   LE HAUT DES INDES          
LIEU-DIT   LE HAUT DU PRUNET          
LIEU-DIT   HEDOIT                     
LIEU-DIT   ILOT DU MARAIS             
LIEU-DIT   LES INDES                  
LIEU-DIT   MAINVILLE NORD             
LIEU-DIT   MAINVILLE SUD              
LIEU-DIT   MONTAINVILLE               
LIEU-DIT   ROSIERE                    
LIEU-DIT   SOULEZARD                  
LIEU-DIT   SUPER ARGENTEUIL CENTRE    
LIEU-DIT   SUPER ARGENTEUIL EST       
LIEU-DIT   SUPER ARGENTEUIL OUEST     
LIEU-DIT   VIGNOL NORD                
LIEU-DIT   VIGNOL SUD                 
LIEU-DIT   ESPLANADE                  
LIEU-DIT   LES BRUYERES               
GARE       D ARGENTEUIL               
GARE       DU VAL D ARGENTEUIL        
GARE       GRANDE CEINTURE            
MAR        JOLIOT CURIE               
MAR        DELAMBRE                   
           LIMITES ADMINISTRATIVES    
AVENUE     DE L ABATTOIR              
PLACE      DE L'ABBE DE L'EPEE        
RUE        DE L ABBE FLEURY           
RUE        DE L ABBE RUELLAN          
ALLEE      DES ABRICOTIERS            
ALLEE      DES ACACIAS                
ALLEE      ADOLPHE REGIS              
RUE        DE L AIGLE                 
ALLEE      ALLEE DES AIRELLES         
RUE        ALBERT                     
RUE        ALBERT ROBIDA              
PLACE      D ALEMBERT                 
PLACE      ALESSANDRIA                
ALLEE      ALEXANDRE                  
RUE        ALEXANDRE DUMAS            
RUE        ALEXANDRE RIBOT            
ALLEE      ALEXANDRINE                
RUE        ALFRED COLLAS              
RUE        ALFRED LABRIERE            
RUE        ALFRED LABRIERRE           
RUE        ALFRED ST PIERRE           
ALLEE      ALFRED SISLEY              
RUE        DES ALLOBROGES             
RUE        DES ALOUETTES              
RUE        DES ALPES                  
RUE        D ALSACE                   
ALLEE      DES AMANDIERS              
RUE        AMBROISE CROIZAT           
RUE        AMBROISE THOMAS            
RUE        AMEDEE JOUY                
AVENUE     AMELIE                     
RUE        D AMIENS                   
RUE        ANATOLE FRANCE             
RUE        ANATOLE LUCAS              
RUE        ANDRE LEGUELLEC            
RUE        ANDRESY                    
RUE        DES ANEMONES               
ALLEE      DES ANEMONES               
RUE        D ANGERS                   
RUE        DE L ANGOUMOIS             
SQUARE     D ANJOU                    
RUE        ANTONIN G BELIN            
RUE        APPENINS                   
SQUARE     AQUITAINE                  
RUE        DES ARDENNES               
RUE        ARDIVAL                    
AVENUE     D ARGENTEUIL               
ROUTE      D ARGENTEUIL               
RUE        D ARGENTEUIL               
RUE        ARGONNE                    
MAR        ARISTIDE BRIAND            
PLACE      A BRIAND                   
RUE        D ARRAS                    
RUE        ARTHUR RIMBAUD             
IMPASSE    D'ARTOIS                   
RUE        D ARTOIS                   
RUE        ARY SCHEFFER               
RUE        D ASCQ                     
RUE        DE L ASPERGE               
RUE        DES AUBEPINES              
RUE        AUBRY VITET                
RUE        AUGUSTE DELAUNE            
ALLEE      AUGUSTE RENOIR             
RUE        DES AULNETTES              
RUE        DE L AUNIS                 
RUE        DES AUVERGNATS             
RUE        D AUVERGNE                 
RUE        DE L AVEYRON               
RUE        DES AVIATEURS              
IMPASSE    DES AZALEES                
RUE        DE BALMONT                 
RUE        DES BALSAMINES             
RUE        DE LA BANQUE               
RUE        BAPAUME                    
RUE        BARATIER                   
CHEMIN     DU BARENTIN                
RUE        DE BARENTIN                
CHEMIN     BAS DES GUILLERANDS        
RUE        DES BASQUES                
RUE        BAUDIN                     
RUE        BAVARD                     
RUE        BAYARD                     
RUE        DE BEARN                   
RUE        DES BEARNAIS               
AVENUE     BEAUSEJOUR                 
RUE        BEER                       
ALLEE      BEETHOVEN                  
RUE        DU BEL AIR                 
IMPASSE    DES PICARDS                
RUE        DE BELLEVUE                
IMPASSE    BELLINA                    
RUE        DU BERCEAU                 
RUE        BERINGIER                  
RUE        DE LA BERIONNE             
RUE        DES BERRICHONS             
RUE        DU BERRY                   
RUE        DES BEURRIERS              
QUAI       DE BEZONS                  
RUE        BICHERET                   
ALLEE      BIRKEL                     
RUE        DU BIZET                   
RUE        BLAISE PIERRE              
AVENUE     BLANCHE                    
AVENUE     BLERIOT                    
RUE        DES BLEUETS                
RUE        DES BOIS DE SANNOIS        
RUE        DU BOIS MARIN              
RUE        BONAPARTE                  
RUE        DU BON SENS                
RUE        DU BORDELAIS               
RUE        BOUCHER ROY                
QUAI       DE BEZONS                  
CLOS       DE LA MARDUVALE            
RUE        DE BOUIN                   
SENTIER    DES BOULEAUX               
BOULEVARD  BOURCERON                  
RUE        DE BOURGOGNE               
RUE        DES BOURGUIGNONS           
AVENUE     DE LA BOURSE               
RUE        DES BRETONS                
RUE        RHIN ET DANUBE             
IMPASSE    DES BRIARDS                
AVENUE     BRIDAULT                   
RUE        DE BUAN                    
IMPASSE    DES BUCHETTES              
RUE        DES BUCHETTES              
PLACE      LORRAINE                   
RUE        ROUSSILON                  
SQUARE     PIERRE JOLY                
RUE        MADELEINE BEJART           
RUE        DES BRODEUSES              
RUE        DU BUFFET                  
ALLEE      DES SITTELLES              
RUE        DES BUISSONS               
RUE        DE LA BUTTE BLANCHE        
RUE        DE CABERNET                
RUE        DE LA CAILLE               
RUE        DE CALAIS                  
CHEMIN     CAMILLE DONCIEUX           
RUE        DU CANTAL                  
PLACE      DES CANUTS                 
PLACE      DU CAPITAINE CHAUVELOT     
RUE        DES CAPUCINES              
RUE        CAREME PRENANT             
PLACE      CARNOT                     
RUE        CARNOT                     
RUE        DES CARRIERES              
ALLEE      DES CASCADES DE L'AVEYRON  
RUE        DES CAS ROUGES             
RUE        DES CATALANS               
RUE        DE LA CAVEE                
RUE        DE LA CAVEE PROLONGEE      
RUE        DES CELTES                 
RUE        CENTRALE                   
SQUARE     DU CDT DOUE                
RUE        DU CEDRE BLEU              
RUE        DU CERISIER                
