20151101
27         EURE                          
LIEU-DIT   LA CHAUSSEE                
LIEU-DIT   LE CHENE                   
LIEU-DIT   LE CLOS AUX MOINES         
LIEU-DIT   LE CLOS DE LA CEINTURE     
LIEU-DIT   LE COQUILLON               
LIEU-DIT   LA CROIX                   
LIEU-DIT   LA CROIX DE ROUVILLE       
LIEU-DIT   LA CROIX MARC              
LIEU-DIT   LES DIGUETS                
LIEU-DIT   LES FORIERES DE BAS        
LIEU-DIT   LES FORIERES DE HAUT       
LIEU-DIT   LA FOSSE AUX LOUPS         
LIEU-DIT   LA GARENNE DE L EPINE      
LIEU-DIT   LA GARENNE DE LESSARD      
LIEU-DIT   LES GENETAIS               
LIEU-DIT   LE GRAND PARC              
LIEU-DIT   LE HAUT PALLERON           
LIEU-DIT   LES HAUTS CHAMPS           
LIEU-DIT   ILE DE ROUVILLE            
LIEU-DIT   LA LAMPE                   
LIEU-DIT   LA MAISON ROUGE            
LIEU-DIT   LA MARE AUX VACHES         
LIEU-DIT   LE PORT AU CHANVRE         
LIEU-DIT   LE POSTEL                  
LIEU-DIT   LE PRE ROMPU               
LIEU-DIT   LES PRES DES SAULES        
LIEU-DIT   LA RANGLE                  
LIEU-DIT   ROUVILLE                   
LIEU-DIT   LA RUE DU BOSC             
LIEU-DIT   LES SABLONS                
LIEU-DIT   LE SOLITAIRE               
LIEU-DIT   SOUS LA GARENNE DE L EPINE 
LIEU-DIT   LES TRENTE SAULES          
LIEU-DIT   LE TROU DES HAIES          
LIEU-DIT   LE VILLAGE                 
RUE        DE L ANDELLE               
RUE        DU BOSC                    
RUE        DES CARRIERES              
CHEMIN     DE DEVISE                  
RUE        DE L EGLISE                
RUE        PAUL ELUARD                
RUE        DE L ESSART                
RUE        ELSA TRIOLET               
RUE        GABRIEL PERI               
RUE        DES FORIERES               
RUE        DES FORIERES DE HAUT       
PLACE      DE LA GARE                 
RUE        DES GLYCINES               
RUE        DE LA GARENNE              
RUE        GIRONDE                    
RUE        DU HUIT MAI                
RUE        GUY MOQUET                 
RUE        DE LA JUSTICE              
RUE        NELSON MANDELA             
RUE        DU 19 MARS 1962            
ROUTE      DU MANOIR                  
RUE        DE LESSART                 
RUE        NATIONALE                  
RUE        DU ONZE NOVEMBRE           
IMPASSE    PICASSO                    
RUE        DU PREMIER MAI             
RUE        ROUSSELLE                  
PLACE      DE LA RESISTANCE           
RUE        DE ROUVILLE                
RUE        DES SABLONS                
RUE        DES SAULES                 
RUE        PIERRE SEMARD              
RUE        DU SOLITAIRE               
RUE        DU CLOS DES VIGNES         
           commune :     AMBENAY                        departement : EURE                          
FRM        DE MAUREPAS                
RESIDENCE  DE LA PERSEVERANCE         
LIEU-DIT   LES BARBERONS              
LIEU-DIT   LE BOIS CARRE              
LIEU-DIT   LE BOIS DE L ECUREUIL      
LIEU-DIT   LA BONNEVILLE              
LIEU-DIT   LE BOUT DU BOIS NORD       
LIEU-DIT   LE BOUT DU BOIS SUD        
LIEU-DIT   LE BOYON                   
LIEU-DIT   LES BREAUVINS              
LIEU-DIT   LE BUAT                    
LIEU-DIT   CAMPAGNE DE CHENNECOURT    
LIEU-DIT   CAMPAGNE DE LA BONNEVILLE  
LIEU-DIT   CAMPAGNE DE LA FRICHE      
LIEU-DIT   CAMPAGNE DE MAUBUSSON      
LIEU-DIT   CAMPAGNE DU CORNET         
LIEU-DIT   LES CHAMPS FAILLY          
LIEU-DIT   LE CHATEAU DE L HERMITE    
LIEU-DIT   LE CHENAY                  
LIEU-DIT   LE CHENE BRANCHU           
LIEU-DIT   LE CHESNAY                 
LIEU-DIT   LE CORNET                  
LIEU-DIT   COTE DE LA FORGE           
LIEU-DIT   COTE DES BOTTEREAUX        
LIEU-DIT   LE CULORON                 
LIEU-DIT   L ENCLOS DE L HERMITE      
